"Step","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"227","-63","-63","-63"
"228","-62","-62","-62"
"229","-61","-61","-61"
"230","-62","-62","-62"
"231","-61","-61","-61"
"232","-64","-64","-64"
"233","-58","-58","-58"
"234","-65","-65","-65"
"235","-63","-63","-63"
"236","-62","-62","-62"
"237","-62","-62","-62"
"238","-62","-62","-62"
"239","-63","-63","-63"
"240","-63","-63","-63"
"241","-62","-62","-62"
"242","-61","-61","-61"
"243","-61","-61","-61"
"244","-58","-58","-58"
"245","-63","-63","-63"
"246","-63","-63","-63"
"247","-62","-62","-62"
"248","-62","-62","-62"
"249","-63","-63","-63"
"250","-62","-62","-62"
"251","-61","-61","-61"
"252","-61","-61","-61"
"253","-61","-61","-61"
"254","-61","-61","-61"
"255","-64","-64","-64"
"256","-61","-61","-61"
"257","-61","-61","-61"
"258","-61","-61","-61"
"259","-63","-63","-63"
"260","-63","-63","-63"
"261","-64","-64","-64"
"262","-64","-64","-64"
"263","-57","-57","-57"
"264","-61","-61","-61"
"265","-65","-65","-65"
"266","-61","-61","-61"
"267","-61","-61","-61"
"268","-63","-63","-63"
"269","-64","-64","-64"
"270","-61","-61","-61"
"271","-69","-69","-69"
"272","-64","-64","-64"
"273","-61","-61","-61"
"274","-67","-67","-67"
"275","-63","-63","-63"
"276","-64","-64","-64"
"277","-58","-58","-58"
"278","-63","-63","-63"
"279","-70","-70","-70"
"280","-61","-61","-61"
"281","-62","-62","-62"
"282","-61","-61","-61"
"283","-61","-61","-61"
"284","-63","-63","-63"
"285","-64","-64","-64"
"286","-61","-61","-61"
"287","-63","-63","-63"
"288","-62","-62","-62"
"289","-61","-61","-61"
"290","-61","-61","-61"
"291","-62","-62","-62"
"292","-61","-61","-61"
"293","-62","-62","-62"
"294","-62","-62","-62"
"295","-61","-61","-61"
"296","-63","-63","-63"
"297","-61","-61","-61"
"298","-62","-62","-62"
"299","-64","-64","-64"
"300","-63","-63","-63"
"301","-61","-61","-61"
"302","-62","-62","-62"
"303","-64","-64","-64"
"304","-60","-60","-60"
"305","-61","-61","-61"
"306","-62","-62","-62"
"307","-63","-63","-63"
"308","-61","-61","-61"
"309","-62","-62","-62"
"310","-63","-63","-63"
"311","-61","-61","-61"
"312","-61","-61","-61"
"313","-60","-60","-60"
"314","-61","-61","-61"
"315","-61","-61","-61"
"316","-63","-63","-63"
"317","-64","-64","-64"
"318","-62","-62","-62"
"319","-61","-61","-61"
"320","-61","-61","-61"
"321","-62","-62","-62"
"322","-61","-61","-61"
"323","-61","-61","-61"
"324","-69","-69","-69"
"325","-63","-63","-63"
"326","-61","-61","-61"
"327","-62","-62","-62"
"328","-61","-61","-61"
"329","-60","-60","-60"
"330","-60","-60","-60"
"331","-60","-60","-60"
"332","-61","-61","-61"
"333","-61","-61","-61"
"334","-61","-61","-61"
"335","-60","-60","-60"
"336","-61","-61","-61"
"337","-69","-69","-69"
"338","-60","-60","-60"
"339","-65","-65","-65"
"340","-61","-61","-61"
"341","-61","-61","-61"
"342","-60","-60","-60"
"343","-63","-63","-63"
"344","-61","-61","-61"
"345","-60","-60","-60"
"346","-60","-60","-60"
"347","-63","-63","-63"
"348","-60","-60","-60"
"349","-60","-60","-60"
"350","-69","-69","-69"
"351","-61","-61","-61"
"352","-62","-62","-62"
"353","-61","-61","-61"
"354","-60","-60","-60"
"355","-60","-60","-60"
"356","-61","-61","-61"
"357","-61","-61","-61"
"358","-62","-62","-62"
"359","-60","-60","-60"
"360","-60","-60","-60"
"361","-62","-62","-62"
"362","-69","-69","-69"
"363","-62","-62","-62"
"364","-60","-60","-60"
"365","-61","-61","-61"
"366","-61","-61","-61"
"367","-63","-63","-63"
"368","-65","-65","-65"
"369","-60","-60","-60"
"370","-62","-62","-62"
"371","-60","-60","-60"
"372","-60","-60","-60"
"373","-60","-60","-60"
"374","-61","-61","-61"
"375","-61","-61","-61"
"376","-60","-60","-60"
"377","-64","-64","-64"
"378","-61","-61","-61"
"379","-60","-60","-60"
"380","-61","-61","-61"
"381","-60","-60","-60"
"382","-60","-60","-60"
"383","-61","-61","-61"
"384","-59","-59","-59"
"385","-60","-60","-60"
"386","-61","-61","-61"
"387","-61","-61","-61"
"388","-62","-62","-62"
"389","-62","-62","-62"
"390","-60","-60","-60"
"391","-62","-62","-62"
"392","-60","-60","-60"
"393","-61","-61","-61"
"394","-60","-60","-60"
"395","-60","-60","-60"
"396","-64","-64","-64"
"397","-60","-60","-60"
"398","-60","-60","-60"
"399","-58","-58","-58"
"400","-63","-63","-63"
"401","-63","-63","-63"
"402","-61","-61","-61"
"403","-62","-62","-62"
"404","-64","-64","-64"
"405","-63","-63","-63"
"406","-62","-62","-62"
"407","-64","-64","-64"
"408","-60","-60","-60"
"409","-62","-62","-62"
"410","-64","-64","-64"
"411","-63","-63","-63"
"412","-65","-65","-65"
"413","-64","-64","-64"
"414","-59","-59","-59"
"415","-64","-64","-64"
"416","-63","-63","-63"
"417","-64","-64","-64"
"418","-64","-64","-64"
"419","-65","-65","-65"
"420","-63","-63","-63"
"421","-62","-62","-62"
"422","-63","-63","-63"
"423","-64","-64","-64"
"424","-65","-65","-65"
"425","-63","-63","-63"
"426","-64","-64","-64"
"427","-64","-64","-64"
"428","-64","-64","-64"
"429","-64","-64","-64"
"430","-63","-63","-63"
"431","-64","-64","-64"
"432","-64","-64","-64"
"433","-63","-63","-63"
"434","-60","-60","-60"
"435","-64","-64","-64"
"436","-64","-64","-64"
"437","-62","-62","-62"
"438","-64","-64","-64"
"439","-66","-66","-66"
"440","-64","-64","-64"
"441","-58","-58","-58"
"442","-63","-63","-63"
"443","-65","-65","-65"
"444","-62","-62","-62"
"445","-60","-60","-60"
"446","-59","-59","-59"
"447","-61","-61","-61"
"448","-64","-64","-64"
"449","-63","-63","-63"
"450","-64","-64","-64"
"451","-63","-63","-63"
"452","-62","-62","-62"
"453","-63","-63","-63"
"454","-64","-64","-64"
"455","-61","-61","-61"
"456","-63","-63","-63"
"457","-61","-61","-61"
"458","-63","-63","-63"
"459","-60","-60","-60"
"460","-62","-62","-62"
"461","-61","-61","-61"
"462","-63","-63","-63"
"463","-60","-60","-60"
"464","-62","-62","-62"
"465","-62","-62","-62"
"466","-61","-61","-61"
"467","-60","-60","-60"
"468","-65","-65","-65"
