"Step","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"0","-200","-200","-200"
"1","-200","-200","-200"
"2","-200","-200","-200"
"3","-200","-200","-200"
"4","-200","-200","-200"
"5","-200","-200","-200"
"6","-200","-200","-200"
"7","-200","-200","-200"
"8","-200","-200","-200"
"9","-200","-200","-200"
"10","-196","-196","-196"
"11","-200","-200","-200"
"12","-200","-200","-200"
"13","-200","-200","-200"
"14","-200","-200","-200"
"15","-200","-200","-200"
"16","-200","-200","-200"
"17","-200","-200","-200"
"18","-200","-200","-200"
"19","-200","-200","-200"
"20","-200","-200","-200"
"21","-200","-200","-200"
"22","-200","-200","-200"
"23","-200","-200","-200"
"24","-200","-200","-200"
"25","-200","-200","-200"
"26","-200","-200","-200"
"27","-200","-200","-200"
"28","-200","-200","-200"
"29","-200","-200","-200"
"30","-200","-200","-200"
"31","-200","-200","-200"
"32","-200","-200","-200"
"33","-200","-200","-200"
"34","-200","-200","-200"
"35","-200","-200","-200"
"36","-200","-200","-200"
"37","-200","-200","-200"
"38","-200","-200","-200"
"39","-200","-200","-200"
"40","-200","-200","-200"
"41","-200","-200","-200"
"42","-200","-200","-200"
"43","-192","-192","-192"
"44","-157","-157","-157"
"45","-200","-200","-200"
"46","-200","-200","-200"
"47","-200","-200","-200"
"48","-200","-200","-200"
"49","-155","-155","-155"
"50","-165","-165","-165"
"51","-142","-142","-142"
"52","-93","-93","-93"
"53","-200","-200","-200"
"54","-85","-85","-85"
"55","-181","-181","-181"
"56","-151","-151","-151"
"57","-148","-148","-148"
"58","-136","-136","-136"
"59","-107","-107","-107"
"60","-130","-130","-130"
"61","-106","-106","-106"
"62","-130","-130","-130"
"63","-122","-122","-122"
"64","-105","-105","-105"
"65","-83","-83","-83"
"66","-128","-128","-128"
"67","-113","-113","-113"
"68","-119","-119","-119"
"69","-119","-119","-119"
"70","-90","-90","-90"
"71","-111","-111","-111"
"72","-84","-84","-84"
"73","-107","-107","-107"
"74","-112","-112","-112"
"75","-107","-107","-107"
"76","-111","-111","-111"
"77","-118","-118","-118"
"78","-106","-106","-106"
"79","-91","-91","-91"
"80","-90","-90","-90"
"81","-91","-91","-91"
"82","-106","-106","-106"
"83","-108","-108","-108"
"84","-106","-106","-106"
"85","-107","-107","-107"
"86","-104","-104","-104"
"87","-104","-104","-104"
"88","-104","-104","-104"
"89","-106","-106","-106"
"90","-90","-90","-90"
"91","-105","-105","-105"
"92","-101","-101","-101"
"93","-95","-95","-95"
"94","-85","-85","-85"
"95","-105","-105","-105"
"96","-99","-99","-99"
"97","-104","-104","-104"
"98","-97","-97","-97"
"99","-83","-83","-83"
"100","-105","-105","-105"
"101","-89","-89","-89"
"102","-105","-105","-105"
"103","-110","-110","-110"
"104","-104","-104","-104"
"105","-89","-89","-89"
"106","-104","-104","-104"
"107","-104","-104","-104"
"108","-104","-104","-104"
"109","-107","-107","-107"
"110","-104","-104","-104"
"111","-103","-103","-103"
"112","-107","-107","-107"
"113","-97","-97","-97"
"114","-86","-86","-86"
"115","-87","-87","-87"
"116","-108","-108","-108"
"117","-87","-87","-87"
"118","-105","-105","-105"
"119","-100","-100","-100"
"120","-107","-107","-107"
"121","-106","-106","-106"
"122","-104","-104","-104"
"123","-105","-105","-105"
"124","-105","-105","-105"
"125","-106","-106","-106"
"126","-105","-105","-105"
"127","-89","-89","-89"
"128","-83","-83","-83"
"129","-83","-83","-83"
"130","-102","-102","-102"
"131","-105","-105","-105"
"132","-84","-84","-84"
"133","-105","-105","-105"
"134","-91","-91","-91"
"135","-105","-105","-105"
"136","-89","-89","-89"
"137","-90","-90","-90"
"138","-105","-105","-105"
"139","-94","-94","-94"
"140","-105","-105","-105"
"141","-84","-84","-84"
"142","-103","-103","-103"
"143","-104","-104","-104"
"144","-105","-105","-105"
"145","-83","-83","-83"
"146","-88","-88","-88"
"147","-103","-103","-103"
"148","-107","-107","-107"
"149","-105","-105","-105"
"150","-96","-96","-96"
"151","-103","-103","-103"
"152","-106","-106","-106"
"153","-89","-89","-89"
"154","-92","-92","-92"
"155","-84","-84","-84"
"156","-99","-99","-99"
"157","-104","-104","-104"
"158","-104","-104","-104"
"159","-83","-83","-83"
"160","-111","-111","-111"
"161","-97","-97","-97"
"162","-106","-106","-106"
"163","-105","-105","-105"
"164","-105","-105","-105"
"165","-107","-107","-107"
"166","-104","-104","-104"
"167","-108","-108","-108"
"168","-103","-103","-103"
"169","-104","-104","-104"
"170","-101","-101","-101"
"171","-106","-106","-106"
"172","-105","-105","-105"
"173","-106","-106","-106"
"174","-105","-105","-105"
"175","-83","-83","-83"
"176","-90","-90","-90"
"177","-104","-104","-104"
"178","-88","-88","-88"
"179","-105","-105","-105"
"180","-89","-89","-89"
"181","-106","-106","-106"
"182","-91","-91","-91"
"183","-106","-106","-106"
"184","-87","-87","-87"
"185","-106","-106","-106"
"186","-112","-112","-112"
"187","-105","-105","-105"
"188","-104","-104","-104"
"189","-113","-113","-113"
"190","-94","-94","-94"
"191","-84","-84","-84"
"192","-108","-108","-108"
"193","-107","-107","-107"
"194","-106","-106","-106"
"195","-104","-104","-104"
"196","-94","-94","-94"
"197","-92","-92","-92"
"198","-91","-91","-91"
"199","-105","-105","-105"
"200","-104","-104","-104"
"201","-103","-103","-103"
"202","-89","-89","-89"
"203","-105","-105","-105"
"204","-107","-107","-107"
"205","-110","-110","-110"
"206","-109","-109","-109"
"207","-104","-104","-104"
"208","-104","-104","-104"
"209","-104","-104","-104"
"210","-104","-104","-104"
"211","-93","-93","-93"
"212","-106","-106","-106"
"213","-105","-105","-105"
"214","-110","-110","-110"
"215","-105","-105","-105"
"216","-94","-94","-94"
"217","-107","-107","-107"
"218","-104","-104","-104"
"219","-104","-104","-104"
"220","-98","-98","-98"
"221","-104","-104","-104"
"222","-89","-89","-89"
"223","-88","-88","-88"
"224","-103","-103","-103"
"225","-96","-96","-96"
"226","-89","-89","-89"
"227","-108","-108","-108"
"228","-105","-105","-105"
"229","-104","-104","-104"
"230","-104","-104","-104"
"231","-105","-105","-105"
"232","-104","-104","-104"
"233","-109","-109","-109"
"234","-110","-110","-110"
"235","-105","-105","-105"
"236","-103","-103","-103"
"237","-104","-104","-104"
"238","-103","-103","-103"
"239","-105","-105","-105"
"240","-105","-105","-105"
"241","-97","-97","-97"
"242","-105","-105","-105"
"243","-110","-110","-110"
"244","-104","-104","-104"
"245","-105","-105","-105"
"246","-94","-94","-94"
"247","-104","-104","-104"
