"Step","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"0","-200","-200","-200"
"1","-200","-200","-200"
"2","-200","-200","-200"
"3","-200","-200","-200"
"4","-200","-200","-200"
"5","-200","-200","-200"
"6","-200","-200","-200"
"7","-200","-200","-200"
"8","-200","-200","-200"
"9","-200","-200","-200"
"10","-200","-200","-200"
"11","-200","-200","-200"
"12","-200","-200","-200"
"13","-200","-200","-200"
"14","-200","-200","-200"
"15","-200","-200","-200"
"16","-200","-200","-200"
"17","-200","-200","-200"
"18","-200","-200","-200"
"19","-200","-200","-200"
"20","-200","-200","-200"
"21","-200","-200","-200"
"22","-170","-170","-170"
"23","-200","-200","-200"
"24","-200","-200","-200"
"25","-198","-198","-198"
"26","-193","-193","-193"
"27","-200","-200","-200"
"28","-200","-200","-200"
"29","-200","-200","-200"
"30","-200","-200","-200"
"31","-200","-200","-200"
"32","-200","-200","-200"
"33","-157","-157","-157"
"34","-200","-200","-200"
"35","-171","-171","-171"
"36","-200","-200","-200"
"37","-200","-200","-200"
"38","-138","-138","-138"
"39","-173","-173","-173"
"40","-132","-132","-132"
"41","-160","-160","-160"
"42","-118","-118","-118"
"43","-117","-117","-117"
"44","-137","-137","-137"
"45","-132","-132","-132"
"46","-176","-176","-176"
"47","-180","-180","-180"
"48","-142","-142","-142"
"49","-166","-166","-166"
"50","-139","-139","-139"
"51","-110","-110","-110"
"52","-114","-114","-114"
"53","-133","-133","-133"
"54","-157","-157","-157"
"55","-131","-131","-131"
"56","-92","-92","-92"
"57","-84","-84","-84"
"58","-108","-108","-108"
"59","-86","-86","-86"
"60","-103","-103","-103"
"61","-125","-125","-125"
"62","-110","-110","-110"
"63","-85","-85","-85"
"64","-136","-136","-136"
"65","-124","-124","-124"
"66","-84","-84","-84"
"67","-102","-102","-102"
"68","-104","-104","-104"
"69","-107","-107","-107"
"70","-97","-97","-97"
"71","-86","-86","-86"
"72","-85","-85","-85"
"73","-106","-106","-106"
"74","-104","-104","-104"
"75","-115","-115","-115"
"76","-110","-110","-110"
"77","-98","-98","-98"
"78","-85","-85","-85"
"79","-92","-92","-92"
"80","-111","-111","-111"
"81","-104","-104","-104"
"82","-98","-98","-98"
"83","-105","-105","-105"
"84","-107","-107","-107"
"85","-109","-109","-109"
"86","-94","-94","-94"
"87","-110","-110","-110"
"88","-106","-106","-106"
"89","-105","-105","-105"
"90","-109","-109","-109"
"91","-87","-87","-87"
"92","-103","-103","-103"
"93","-83","-83","-83"
"94","-110","-110","-110"
"95","-109","-109","-109"
"96","-89","-89","-89"
"97","-109","-109","-109"
"98","-107","-107","-107"
"99","-106","-106","-106"
"100","-106","-106","-106"
"101","-108","-108","-108"
"102","-85","-85","-85"
"103","-110","-110","-110"
"104","-104","-104","-104"
"105","-84","-84","-84"
"106","-105","-105","-105"
"107","-104","-104","-104"
"108","-88","-88","-88"
"109","-106","-106","-106"
"110","-87","-87","-87"
"111","-101","-101","-101"
"112","-103","-103","-103"
"113","-103","-103","-103"
"114","-124","-124","-124"
"115","-106","-106","-106"
"116","-106","-106","-106"
"117","-106","-106","-106"
"118","-105","-105","-105"
"119","-105","-105","-105"
"120","-105","-105","-105"
"121","-106","-106","-106"
"122","-104","-104","-104"
"123","-108","-108","-108"
"124","-93","-93","-93"
"125","-107","-107","-107"
"126","-107","-107","-107"
"127","-95","-95","-95"
"128","-107","-107","-107"
"129","-95","-95","-95"
"130","-108","-108","-108"
"131","-106","-106","-106"
"132","-103","-103","-103"
"133","-107","-107","-107"
"134","-85","-85","-85"
"135","-104","-104","-104"
"136","-106","-106","-106"
"137","-98","-98","-98"
"138","-107","-107","-107"
"139","-109","-109","-109"
"140","-107","-107","-107"
"141","-101","-101","-101"
"142","-112","-112","-112"
"143","-86","-86","-86"
"144","-106","-106","-106"
"145","-84","-84","-84"
"146","-84","-84","-84"
"147","-105","-105","-105"
"148","-87","-87","-87"
"149","-105","-105","-105"
"150","-97","-97","-97"
"151","-87","-87","-87"
"152","-103","-103","-103"
"153","-95","-95","-95"
"154","-106","-106","-106"
"155","-104","-104","-104"
"156","-105","-105","-105"
"157","-108","-108","-108"
"158","-95","-95","-95"
"159","-109","-109","-109"
"160","-95","-95","-95"
"161","-94","-94","-94"
"162","-106","-106","-106"
"163","-107","-107","-107"
"164","-87","-87","-87"
"165","-83","-83","-83"
"166","-93","-93","-93"
"167","-94","-94","-94"
"168","-83","-83","-83"
"169","-83","-83","-83"
"170","-107","-107","-107"
"171","-104","-104","-104"
"172","-98","-98","-98"
"173","-108","-108","-108"
"174","-89","-89","-89"
"175","-85","-85","-85"
"176","-107","-107","-107"
"177","-92","-92","-92"
"178","-105","-105","-105"
"179","-105","-105","-105"
"180","-107","-107","-107"
"181","-110","-110","-110"
"182","-89","-89","-89"
"183","-105","-105","-105"
"184","-106","-106","-106"
"185","-104","-104","-104"
"186","-94","-94","-94"
"187","-85","-85","-85"
"188","-90","-90","-90"
"189","-102","-102","-102"
"190","-106","-106","-106"
"191","-97","-97","-97"
"192","-99","-99","-99"
"193","-105","-105","-105"
"194","-86","-86","-86"
"195","-87","-87","-87"
"196","-104","-104","-104"
"197","-91","-91","-91"
"198","-86","-86","-86"
"199","-106","-106","-106"
"200","-105","-105","-105"
"201","-105","-105","-105"
"202","-85","-85","-85"
"203","-105","-105","-105"
"204","-105","-105","-105"
"205","-111","-111","-111"
"206","-104","-104","-104"
"207","-113","-113","-113"
"208","-91","-91","-91"
"209","-106","-106","-106"
"210","-108","-108","-108"
"211","-106","-106","-106"
"212","-83","-83","-83"
"213","-85","-85","-85"
"214","-96","-96","-96"
"215","-111","-111","-111"
"216","-83","-83","-83"
"217","-104","-104","-104"
"218","-106","-106","-106"
"219","-87","-87","-87"
"220","-108","-108","-108"
"221","-91","-91","-91"
"222","-108","-108","-108"
"223","-92","-92","-92"
"224","-106","-106","-106"
"225","-104","-104","-104"
"226","-87","-87","-87"
"227","-106","-106","-106"
"228","-107","-107","-107"
"229","-100","-100","-100"
"230","-109","-109","-109"
"231","-108","-108","-108"
"232","-84","-84","-84"
"233","-103","-103","-103"
"234","-87","-87","-87"
"235","-108","-108","-108"
"236","-93","-93","-93"
"237","-88","-88","-88"
"238","-90","-90","-90"
"239","-104","-104","-104"
"240","-95","-95","-95"
"241","-104","-104","-104"
"242","-96","-96","-96"
"243","-92","-92","-92"
"244","-104","-104","-104"
"245","-87","-87","-87"
"246","-107","-107","-107"
"247","-104","-104","-104"
