"Step","brax_ppo/num_timesteps_204480000 - current_best_fitness","brax_ppo/num_timesteps_204480000 - current_best_fitness__MIN","brax_ppo/num_timesteps_204480000 - current_best_fitness__MAX"
"0","27.015625","27.015625","27.015625"
"1","189.1015625","189.1015625","189.1015625"
"2","199.8671875","199.8671875","199.8671875"
"3","200","200","200"
"4","200","200","200"
"5","200","200","200"
"6","200","200","200"
"7","200","200","200"
"8","200","200","200"
"9","200","200","200"
"10","200","200","200"
"11","200","200","200"
"12","200","200","200"
"13","200","200","200"
"14","200","200","200"
"15","200","200","200"
"16","200","200","200"
"17","200","200","200"
"18","200","200","200"
"19","200","200","200"
"20","200","200","200"
"21","200","200","200"
"22","200","200","200"
"23","200","200","200"
"24","200","200","200"
"25","200","200","200"
"26","200","200","200"
"27","200","200","200"
"28","200","200","200"
"29","200","200","200"
"30","200","200","200"
"31","200","200","200"
"32","200","200","200"
"33","200","200","200"
"34","200","200","200"
"35","200","200","200"
"36","200","200","200"
"37","200","200","200"
"38","200","200","200"
"39","200","200","200"
"40","200","200","200"
"41","200","200","200"
"42","200","200","200"
"43","200","200","200"
"44","200","200","200"
"45","200","200","200"
"46","200","200","200"
"47","200","200","200"
"48","200","200","200"
"49","200","200","200"
"50","200","200","200"
"51","200","200","200"
"52","200","200","200"
"53","200","200","200"
"54","200","200","200"
"55","200","200","200"
"56","200","200","200"
"57","200","200","200"
"58","200","200","200"
"59","200","200","200"
"60","200","200","200"
"61","200","200","200"
"62","200","200","200"
"63","200","200","200"
"64","200","200","200"
"65","200","200","200"
"66","200","200","200"
"67","200","200","200"
"68","200","200","200"
"69","200","200","200"
"70","200","200","200"
"71","200","200","200"
"72","200","200","200"
"73","200","200","200"
"74","200","200","200"
"75","200","200","200"
"76","200","200","200"
"77","200","200","200"
"78","200","200","200"
"79","200","200","200"
"80","200","200","200"
"81","200","200","200"
"82","200","200","200"
"83","200","200","200"
"84","200","200","200"
"85","200","200","200"
"86","200","200","200"
"87","200","200","200"
"88","200","200","200"
"89","200","200","200"
"90","200","200","200"
"91","200","200","200"
"92","200","200","200"
"93","200","200","200"
"94","200","200","200"
"95","200","200","200"
"96","200","200","200"
"97","200","200","200"
"98","200","200","200"
"99","200","200","200"
"100","200","200","200"
"101","200","200","200"
"102","200","200","200"
"103","200","200","200"
"104","200","200","200"
"105","200","200","200"
"106","200","200","200"
"107","200","200","200"
"108","200","200","200"
"109","200","200","200"
"110","200","200","200"
"111","200","200","200"
"112","200","200","200"
"113","200","200","200"
"114","200","200","200"
"115","200","200","200"
"116","200","200","200"
"117","200","200","200"
"118","200","200","200"
"119","200","200","200"
"120","200","200","200"
"121","200","200","200"
"122","200","200","200"
"123","200","200","200"
"124","200","200","200"
"125","200","200","200"
"126","200","200","200"
"127","200","200","200"
"128","200","200","200"
"129","200","200","200"
"130","200","200","200"
"131","200","200","200"
"132","200","200","200"
"133","200","200","200"
"134","200","200","200"
"135","200","200","200"
"136","200","200","200"
"137","200","200","200"
"138","200","200","200"
"139","200","200","200"
"140","200","200","200"
"141","200","200","200"
"142","200","200","200"
"143","200","200","200"
"144","200","200","200"
"145","200","200","200"
"146","200","200","200"
"147","200","200","200"
"148","200","200","200"
"149","200","200","200"
"150","200","200","200"
"151","200","200","200"
"152","200","200","200"
"153","200","200","200"
"154","200","200","200"
"155","200","200","200"
"156","200","200","200"
"157","200","200","200"
"158","200","200","200"
"159","200","200","200"
"160","200","200","200"
"161","200","200","200"
"162","200","200","200"
"163","200","200","200"
"164","200","200","200"
"165","200","200","200"
"166","200","200","200"
"167","200","200","200"
"168","200","200","200"
"169","200","200","200"
"170","200","200","200"
"171","200","200","200"
"172","200","200","200"
"173","200","200","200"
"174","200","200","200"
"175","200","200","200"
"176","200","200","200"
"177","200","200","200"
"178","200","200","200"
"179","200","200","200"
"180","200","200","200"
"181","200","200","200"
"182","200","200","200"
"183","200","200","200"
"184","200","200","200"
"185","200","200","200"
"186","200","200","200"
"187","200","200","200"
"188","200","200","200"
"189","200","200","200"
"190","200","200","200"
"191","200","200","200"
"192","200","200","200"
"193","199.9140625","199.9140625","199.9140625"
"194","200","200","200"
"195","200","200","200"
"196","200","200","200"
"197","200","200","200"
"198","200","200","200"
"199","200","200","200"
"200","200","200","200"
"201","9.4609375","9.4609375","9.4609375"
"202","9.265625","9.265625","9.265625"
"203","9.359375","9.359375","9.359375"
"204","9.390625","9.390625","9.390625"
"205","9.4921875","9.4921875","9.4921875"
"206","9.484375","9.484375","9.484375"
"207","9.25","9.25","9.25"
"208","9.390625","9.390625","9.390625"
"209","9.359375","9.359375","9.359375"
"210","10.7109375","10.7109375","10.7109375"
"211","9.671875","9.671875","9.671875"
"212","9.4296875","9.4296875","9.4296875"
"213","9.28125","9.28125","9.28125"
"214","9.4296875","9.4296875","9.4296875"
"215","9.4375","9.4375","9.4375"
"216","9.28125","9.28125","9.28125"
"217","10.671875","10.671875","10.671875"
"218","19.6640625","19.6640625","19.6640625"
"219","37.375","37.375","37.375"
"220","9.328125","9.328125","9.328125"
"221","9.3046875","9.3046875","9.3046875"
"222","9.21875","9.21875","9.21875"
"223","9.3359375","9.3359375","9.3359375"
"224","9.2734375","9.2734375","9.2734375"
"225","9.390625","9.390625","9.390625"
"226","9.3125","9.3125","9.3125"
"227","9.296875","9.296875","9.296875"
"228","9.3671875","9.3671875","9.3671875"
"229","9.3046875","9.3046875","9.3046875"
"230","9.4140625","9.4140625","9.4140625"
"231","9.3046875","9.3046875","9.3046875"
"232","9.203125","9.203125","9.203125"
"233","9.3515625","9.3515625","9.3515625"
"234","9.390625","9.390625","9.390625"
"235","9.4296875","9.4296875","9.4296875"
"236","9.2109375","9.2109375","9.2109375"
"237","9.234375","9.234375","9.234375"
"238","9.359375","9.359375","9.359375"
"239","9.234375","9.234375","9.234375"
"240","9.3984375","9.3984375","9.3984375"
"241","9.3125","9.3125","9.3125"
"242","9.296875","9.296875","9.296875"
"243","9.4296875","9.4296875","9.4296875"
"244","9.28125","9.28125","9.28125"
"245","9.2734375","9.2734375","9.2734375"
"246","9.3046875","9.3046875","9.3046875"
"247","9.25","9.25","9.25"
"248","9.2734375","9.2734375","9.2734375"
"249","9.3046875","9.3046875","9.3046875"
"250","9.203125","9.203125","9.203125"
"251","9.3125","9.3125","9.3125"
"252","9.296875","9.296875","9.296875"
"253","9.5234375","9.5234375","9.5234375"
"254","11.578125","11.578125","11.578125"
"255","11.671875","11.671875","11.671875"
"256","11.53125","11.53125","11.53125"
"257","11.578125","11.578125","11.578125"
"258","9.453125","9.453125","9.453125"
"259","11.5625","11.5625","11.5625"
"260","9.4765625","9.4765625","9.4765625"
"261","9.3203125","9.3203125","9.3203125"
"262","9.34375","9.34375","9.34375"
"263","9.3515625","9.3515625","9.3515625"
"264","9.40625","9.40625","9.40625"
"265","9.375","9.375","9.375"
"266","9.421875","9.421875","9.421875"
"267","9.3515625","9.3515625","9.3515625"
"268","9.484375","9.484375","9.484375"
"269","9.4296875","9.4296875","9.4296875"
"270","9.3515625","9.3515625","9.3515625"
"271","9.453125","9.453125","9.453125"
"272","9.328125","9.328125","9.328125"
"273","9.3359375","9.3359375","9.3359375"
"274","9.3203125","9.3203125","9.3203125"
"275","10.65625","10.65625","10.65625"
"276","9.328125","9.328125","9.328125"
"277","9.3984375","9.3984375","9.3984375"
"278","9.375","9.375","9.375"
"279","9.3828125","9.3828125","9.3828125"
"280","9.4140625","9.4140625","9.4140625"
"281","9.3125","9.3125","9.3125"
"282","9.4453125","9.4453125","9.4453125"
"283","11.078125","11.078125","11.078125"
"284","12.203125","12.203125","12.203125"
"285","13.1015625","13.1015625","13.1015625"
"286","12.109375","12.109375","12.109375"
"287","12.5","12.5","12.5"
"288","12.1484375","12.1484375","12.1484375"
"289","10.859375","10.859375","10.859375"
"290","10.8515625","10.8515625","10.8515625"
"291","10.6796875","10.6796875","10.6796875"
"292","10.1015625","10.1015625","10.1015625"
"293","10.0859375","10.0859375","10.0859375"
"294","10.0625","10.0625","10.0625"
"295","10.046875","10.046875","10.046875"
"296","9.9921875","9.9921875","9.9921875"
"297","10.59375","10.59375","10.59375"
"298","10.734375","10.734375","10.734375"
"299","10.3203125","10.3203125","10.3203125"
"300","10.890625","10.890625","10.890625"
"301","11.0390625","11.0390625","11.0390625"
"302","10.65625","10.65625","10.65625"
"303","12.375","12.375","12.375"
"304","11.4140625","11.4140625","11.4140625"
"305","11.6171875","11.6171875","11.6171875"
"306","11.0859375","11.0859375","11.0859375"
"307","11.7265625","11.7265625","11.7265625"
"308","12.4375","12.4375","12.4375"
"309","13.6640625","13.6640625","13.6640625"
"310","9.265625","9.265625","9.265625"
"311","11.5390625","11.5390625","11.5390625"
"312","13.0390625","13.0390625","13.0390625"
"313","17.5390625","17.5390625","17.5390625"
"314","9.4140625","9.4140625","9.4140625"
"315","9.453125","9.453125","9.453125"
"316","9.3515625","9.3515625","9.3515625"
"317","9.3046875","9.3046875","9.3046875"
"318","9.421875","9.421875","9.421875"
"319","9.4140625","9.4140625","9.4140625"
"320","9.4296875","9.4296875","9.4296875"
"321","9.3828125","9.3828125","9.3828125"
"322","9.2890625","9.2890625","9.2890625"
"323","9.3203125","9.3203125","9.3203125"
"324","9.3359375","9.3359375","9.3359375"
"325","9.2421875","9.2421875","9.2421875"
"326","9.359375","9.359375","9.359375"
"327","9.359375","9.359375","9.359375"
"328","9.4375","9.4375","9.4375"
"329","9.3203125","9.3203125","9.3203125"
"330","9.2890625","9.2890625","9.2890625"
"331","9.359375","9.359375","9.359375"
"332","9.3515625","9.3515625","9.3515625"
"333","9.3671875","9.3671875","9.3671875"
"334","9.390625","9.390625","9.390625"
"335","9.4921875","9.4921875","9.4921875"
"336","9.40625","9.40625","9.40625"
"337","9.3359375","9.3359375","9.3359375"
"338","9.3984375","9.3984375","9.3984375"
"339","9.3828125","9.3828125","9.3828125"
"340","9.3359375","9.3359375","9.3359375"
"341","9.3984375","9.3984375","9.3984375"
"342","9.3671875","9.3671875","9.3671875"
"343","9.3125","9.3125","9.3125"
"344","9.40625","9.40625","9.40625"
"345","9.3984375","9.3984375","9.3984375"
"346","9.2578125","9.2578125","9.2578125"
"347","9.34375","9.34375","9.34375"
"348","9.265625","9.265625","9.265625"
"349","9.34375","9.34375","9.34375"
"350","9.4609375","9.4609375","9.4609375"
"351","9.3046875","9.3046875","9.3046875"
"352","9.28125","9.28125","9.28125"
"353","9.359375","9.359375","9.359375"
"354","9.3671875","9.3671875","9.3671875"
"355","9.25","9.25","9.25"
"356","9.2578125","9.2578125","9.2578125"
"357","9.3828125","9.3828125","9.3828125"
"358","9.2890625","9.2890625","9.2890625"
"359","9.296875","9.296875","9.296875"
"360","9.453125","9.453125","9.453125"
"361","9.234375","9.234375","9.234375"
"362","9.3359375","9.3359375","9.3359375"
"363","9.3671875","9.3671875","9.3671875"
