"Step","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"227","-62","-62","-62"
"228","-69","-69","-69"
"229","-62","-62","-62"
"230","-63","-63","-63"
"231","-65","-65","-65"
"232","-62","-62","-62"
"233","-62","-62","-62"
"234","-64","-64","-64"
"235","-65","-65","-65"
"236","-71","-71","-71"
"237","-62","-62","-62"
"238","-62","-62","-62"
"239","-63","-63","-63"
"240","-64","-64","-64"
"241","-64","-64","-64"
"242","-63","-63","-63"
"243","-65","-65","-65"
"244","-66","-66","-66"
"245","-63","-63","-63"
"246","-66","-66","-66"
"247","-64","-64","-64"
"248","-64","-64","-64"
"249","-64","-64","-64"
"250","-64","-64","-64"
"251","-64","-64","-64"
"252","-62","-62","-62"
"253","-70","-70","-70"
"254","-67","-67","-67"
"255","-63","-63","-63"
"256","-62","-62","-62"
"257","-63","-63","-63"
"258","-64","-64","-64"
"259","-62","-62","-62"
"260","-61","-61","-61"
"261","-61","-61","-61"
"262","-66","-66","-66"
"263","-61","-61","-61"
"264","-62","-62","-62"
"265","-64","-64","-64"
"266","-62","-62","-62"
"267","-61","-61","-61"
"268","-62","-62","-62"
"269","-62","-62","-62"
"270","-60","-60","-60"
"271","-62","-62","-62"
"272","-60","-60","-60"
"273","-61","-61","-61"
"274","-63","-63","-63"
"275","-63","-63","-63"
"276","-65","-65","-65"
"277","-63","-63","-63"
"278","-66","-66","-66"
"279","-65","-65","-65"
"280","-61","-61","-61"
"281","-63","-63","-63"
"282","-61","-61","-61"
"283","-65","-65","-65"
"284","-62","-62","-62"
"285","-61","-61","-61"
"286","-63","-63","-63"
"287","-61","-61","-61"
"288","-63","-63","-63"
"289","-61","-61","-61"
"290","-60","-60","-60"
"291","-61","-61","-61"
"292","-63","-63","-63"
"293","-61","-61","-61"
"294","-62","-62","-62"
"295","-63","-63","-63"
"296","-62","-62","-62"
"297","-60","-60","-60"
"298","-64","-64","-64"
"299","-70","-70","-70"
"300","-64","-64","-64"
"301","-61","-61","-61"
"302","-63","-63","-63"
"303","-62","-62","-62"
"304","-63","-63","-63"
"305","-63","-63","-63"
"306","-71","-71","-71"
"307","-62","-62","-62"
"308","-61","-61","-61"
"309","-63","-63","-63"
"310","-63","-63","-63"
"311","-61","-61","-61"
"312","-61","-61","-61"
"313","-63","-63","-63"
"314","-61","-61","-61"
"315","-62","-62","-62"
"316","-62","-62","-62"
"317","-61","-61","-61"
"318","-61","-61","-61"
"319","-62","-62","-62"
"320","-63","-63","-63"
"321","-58","-58","-58"
"322","-65","-65","-65"
"323","-64","-64","-64"
"324","-64","-64","-64"
"325","-61","-61","-61"
"326","-61","-61","-61"
"327","-61","-61","-61"
"328","-62","-62","-62"
"329","-64","-64","-64"
"330","-60","-60","-60"
"331","-63","-63","-63"
"332","-61","-61","-61"
"333","-61","-61","-61"
"334","-63","-63","-63"
"335","-61","-61","-61"
"336","-60","-60","-60"
"337","-61","-61","-61"
"338","-61","-61","-61"
"339","-60","-60","-60"
"340","-61","-61","-61"
"341","-62","-62","-62"
"342","-61","-61","-61"
"343","-64","-64","-64"
"344","-61","-61","-61"
"345","-61","-61","-61"
"346","-65","-65","-65"
"347","-61","-61","-61"
"348","-61","-61","-61"
"349","-64","-64","-64"
"350","-61","-61","-61"
"351","-60","-60","-60"
"352","-60","-60","-60"
"353","-63","-63","-63"
"354","-63","-63","-63"
"355","-61","-61","-61"
"356","-60","-60","-60"
"357","-60","-60","-60"
"358","-60","-60","-60"
"359","-60","-60","-60"
"360","-61","-61","-61"
"361","-60","-60","-60"
"362","-60","-60","-60"
"363","-61","-61","-61"
"364","-60","-60","-60"
"365","-60","-60","-60"
"366","-61","-61","-61"
"367","-63","-63","-63"
"368","-61","-61","-61"
"369","-61","-61","-61"
"370","-60","-60","-60"
"371","-62","-62","-62"
"372","-60","-60","-60"
"373","-60","-60","-60"
"374","-61","-61","-61"
"375","-59","-59","-59"
"376","-60","-60","-60"
"377","-60","-60","-60"
"378","-67","-67","-67"
"379","-61","-61","-61"
"380","-60","-60","-60"
"381","-60","-60","-60"
"382","-64","-64","-64"
"383","-60","-60","-60"
"384","-60","-60","-60"
"385","-60","-60","-60"
"386","-60","-60","-60"
"387","-59","-59","-59"
"388","-63","-63","-63"
"389","-67","-67","-67"
"390","-60","-60","-60"
"391","-64","-64","-64"
"392","-60","-60","-60"
"393","-68","-68","-68"
"394","-61","-61","-61"
"395","-63","-63","-63"
"396","-60","-60","-60"
"397","-61","-61","-61"
"398","-60","-60","-60"
"399","-61","-61","-61"
"400","-64","-64","-64"
"401","-62","-62","-62"
"402","-65","-65","-65"
"403","-65","-65","-65"
"404","-62","-62","-62"
"405","-63","-63","-63"
"406","-68","-68","-68"
"407","-60","-60","-60"
"408","-62","-62","-62"
