"Step","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MIN","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MAX"
"232","-63","-63","-63"
"233","-64","-64","-64"
"234","-64","-64","-64"
"235","-63","-63","-63"
"236","-62","-62","-62"
"237","-65","-65","-65"
"238","-64","-64","-64"
"239","-64","-64","-64"
"240","-63","-63","-63"
"241","-62","-62","-62"
"242","-65","-65","-65"
"243","-64","-64","-64"
"244","-67","-67","-67"
"245","-63","-63","-63"
"246","-63","-63","-63"
"247","-63","-63","-63"
"248","-65","-65","-65"
"249","-64","-64","-64"
"250","-63","-63","-63"
"251","-64","-64","-64"
"252","-65","-65","-65"
"253","-63","-63","-63"
"254","-69","-69","-69"
"255","-63","-63","-63"
"256","-65","-65","-65"
"257","-62","-62","-62"
"258","-65","-65","-65"
"259","-66","-66","-66"
"260","-64","-64","-64"
"261","-64","-64","-64"
"262","-64","-64","-64"
"263","-62","-62","-62"
"264","-64","-64","-64"
"265","-65","-65","-65"
"266","-63","-63","-63"
"267","-64","-64","-64"
"268","-65","-65","-65"
"269","-63","-63","-63"
"270","-63","-63","-63"
"271","-64","-64","-64"
"272","-64","-64","-64"
"273","-64","-64","-64"
"274","-63","-63","-63"
"275","-65","-65","-65"
"276","-63","-63","-63"
"277","-61","-61","-61"
"278","-65","-65","-65"
"279","-64","-64","-64"
"280","-64","-64","-64"
"281","-64","-64","-64"
"282","-64","-64","-64"
"283","-63","-63","-63"
"284","-63","-63","-63"
"285","-63","-63","-63"
"286","-63","-63","-63"
"287","-62","-62","-62"
"288","-64","-64","-64"
"289","-65","-65","-65"
"290","-63","-63","-63"
"291","-63","-63","-63"
"292","-65","-65","-65"
"293","-65","-65","-65"
"294","-63","-63","-63"
"295","-64","-64","-64"
"296","-64","-64","-64"
"297","-63","-63","-63"
"298","-64","-64","-64"
"299","-64","-64","-64"
"300","-64","-64","-64"
"301","-63","-63","-63"
"302","-63","-63","-63"
"303","-62","-62","-62"
"304","-64","-64","-64"
"305","-64","-64","-64"
"306","-63","-63","-63"
"307","-64","-64","-64"
"308","-67","-67","-67"
"309","-63","-63","-63"
"310","-64","-64","-64"
"311","-66","-66","-66"
"312","-66","-66","-66"
"313","-64","-64","-64"
"314","-63","-63","-63"
"315","-64","-64","-64"
"316","-66","-66","-66"
"317","-64","-64","-64"
"318","-63","-63","-63"
"319","-63","-63","-63"
"320","-63","-63","-63"
"321","-64","-64","-64"
"322","-66","-66","-66"
"323","-62","-62","-62"
"324","-65","-65","-65"
"325","-62","-62","-62"
"326","-64","-64","-64"
"327","-63","-63","-63"
"328","-64","-64","-64"
"329","-63","-63","-63"
"330","-69","-69","-69"
"331","-65","-65","-65"
"332","-64","-64","-64"
"333","-65","-65","-65"
"334","-63","-63","-63"
"335","-63","-63","-63"
"336","-64","-64","-64"
"337","-62","-62","-62"
"338","-63","-63","-63"
"339","-63","-63","-63"
"340","-64","-64","-64"
"341","-65","-65","-65"
"342","-64","-64","-64"
"343","-64","-64","-64"
"344","-63","-63","-63"
"345","-66","-66","-66"
"346","-63","-63","-63"
"347","-65","-65","-65"
"348","-63","-63","-63"
"349","-64","-64","-64"
"350","-64","-64","-64"
"351","-64","-64","-64"
"352","-64","-64","-64"
"353","-63","-63","-63"
"354","-63","-63","-63"
"355","-63","-63","-63"
"356","-64","-64","-64"
"357","-62","-62","-62"
"358","-63","-63","-63"
"359","-63","-63","-63"
"360","-63","-63","-63"
"361","-63","-63","-63"
"362","-64","-64","-64"
"363","-64","-64","-64"
"364","-64","-64","-64"
"365","-62","-62","-62"
"366","-64","-64","-64"
"367","-63","-63","-63"
"368","-64","-64","-64"
"369","-64","-64","-64"
"370","-63","-63","-63"
"371","-63","-63","-63"
"372","-65","-65","-65"
"373","-70","-70","-70"
"374","-64","-64","-64"
"375","-64","-64","-64"
"376","-63","-63","-63"
"377","-58","-58","-58"
"378","-65","-65","-65"
"379","-71","-71","-71"
"380","-63","-63","-63"
"381","-66","-66","-66"
"382","-65","-65","-65"
"383","-63","-63","-63"
"384","-66","-66","-66"
"385","-67","-67","-67"
"386","-66","-66","-66"
"387","-64","-64","-64"
"388","-66","-66","-66"
"389","-66","-66","-66"
"390","-62","-62","-62"
"391","-62","-62","-62"
"392","-63","-63","-63"
"393","-63","-63","-63"
"394","-66","-66","-66"
"395","-73","-73","-73"
"396","-63","-63","-63"
"397","-66","-66","-66"
"398","-64","-64","-64"
"399","-64","-64","-64"
"400","-200","-200","-200"
"401","-200","-200","-200"
"402","-64","-64","-64"
"403","-164","-164","-164"
"404","-65","-65","-65"
"405","-73","-73","-73"
"406","-200","-200","-200"
"407","-113","-113","-113"
"408","-200","-200","-200"
"409","-200","-200","-200"
"410","-64","-64","-64"
"411","-96","-96","-96"
"412","-200","-200","-200"
"413","-200","-200","-200"
"414","-200","-200","-200"
"415","-200","-200","-200"
"416","-123","-123","-123"
"417","-200","-200","-200"
"418","-95","-95","-95"
"419","-73","-73","-73"
"420","-64","-64","-64"
"421","-200","-200","-200"
"422","-200","-200","-200"
"423","-200","-200","-200"
"424","-72","-72","-72"
"425","-200","-200","-200"
"426","-107","-107","-107"
"427","-91","-91","-91"
"428","-95","-95","-95"
"429","-200","-200","-200"
"430","-200","-200","-200"
"431","-200","-200","-200"
"432","-200","-200","-200"
"433","-200","-200","-200"
"434","-200","-200","-200"
"435","-200","-200","-200"
"436","-68","-68","-68"
"437","-72","-72","-72"
"438","-200","-200","-200"
"439","-200","-200","-200"
"440","-200","-200","-200"
"441","-200","-200","-200"
"442","-200","-200","-200"
"443","-200","-200","-200"
"444","-200","-200","-200"
"445","-71","-71","-71"
"446","-95","-95","-95"
"447","-200","-200","-200"
"448","-200","-200","-200"
"449","-87","-87","-87"
"450","-104","-104","-104"
"451","-81","-81","-81"
"452","-200","-200","-200"
"453","-200","-200","-200"
"454","-72","-72","-72"
"455","-119","-119","-119"
"456","-200","-200","-200"
"457","-200","-200","-200"
"458","-200","-200","-200"
"459","-73","-73","-73"
"460","-200","-200","-200"
"461","-200","-200","-200"
"462","-200","-200","-200"
"463","-64","-64","-64"
"464","-83","-83","-83"
"465","-200","-200","-200"
"466","-96","-96","-96"
