"Step","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"227","-63","-63","-63"
"228","-63","-63","-63"
"229","-63","-63","-63"
"230","-63","-63","-63"
"231","-63","-63","-63"
"232","-63","-63","-63"
"233","-63","-63","-63"
"234","-63","-63","-63"
"235","-63","-63","-63"
"236","-63","-63","-63"
"237","-64","-64","-64"
"238","-63","-63","-63"
"239","-62","-62","-62"
"240","-63","-63","-63"
"241","-63","-63","-63"
"242","-63","-63","-63"
"243","-62","-62","-62"
"244","-63","-63","-63"
"245","-63","-63","-63"
"246","-63","-63","-63"
"247","-63","-63","-63"
"248","-62","-62","-62"
"249","-61","-61","-61"
"250","-62","-62","-62"
"251","-63","-63","-63"
"252","-63","-63","-63"
"253","-63","-63","-63"
"254","-62","-62","-62"
"255","-64","-64","-64"
"256","-63","-63","-63"
"257","-63","-63","-63"
"258","-63","-63","-63"
"259","-63","-63","-63"
"260","-63","-63","-63"
"261","-62","-62","-62"
"262","-63","-63","-63"
"263","-63","-63","-63"
"264","-63","-63","-63"
"265","-62","-62","-62"
"266","-63","-63","-63"
"267","-63","-63","-63"
"268","-62","-62","-62"
"269","-64","-64","-64"
"270","-63","-63","-63"
"271","-63","-63","-63"
"272","-63","-63","-63"
"273","-63","-63","-63"
"274","-62","-62","-62"
"275","-63","-63","-63"
"276","-62","-62","-62"
"277","-63","-63","-63"
"278","-63","-63","-63"
"279","-62","-62","-62"
"280","-63","-63","-63"
"281","-61","-61","-61"
"282","-63","-63","-63"
"283","-63","-63","-63"
"284","-62","-62","-62"
"285","-62","-62","-62"
"286","-63","-63","-63"
"287","-62","-62","-62"
"288","-63","-63","-63"
"289","-63","-63","-63"
"290","-62","-62","-62"
"291","-62","-62","-62"
"292","-63","-63","-63"
"293","-62","-62","-62"
"294","-61","-61","-61"
"295","-63","-63","-63"
"296","-63","-63","-63"
"297","-62","-62","-62"
"298","-63","-63","-63"
"299","-63","-63","-63"
"300","-62","-62","-62"
"301","-63","-63","-63"
"302","-63","-63","-63"
"303","-63","-63","-63"
"304","-63","-63","-63"
"305","-62","-62","-62"
"306","-60","-60","-60"
"307","-62","-62","-62"
"308","-62","-62","-62"
"309","-62","-62","-62"
"310","-63","-63","-63"
"311","-63","-63","-63"
"312","-63","-63","-63"
"313","-63","-63","-63"
"314","-62","-62","-62"
"315","-63","-63","-63"
"316","-63","-63","-63"
"317","-63","-63","-63"
"318","-63","-63","-63"
"319","-63","-63","-63"
"320","-63","-63","-63"
"321","-63","-63","-63"
"322","-62","-62","-62"
"323","-62","-62","-62"
"324","-61","-61","-61"
"325","-62","-62","-62"
"326","-62","-62","-62"
"327","-62","-62","-62"
"328","-62","-62","-62"
"329","-62","-62","-62"
"330","-62","-62","-62"
"331","-62","-62","-62"
"332","-63","-63","-63"
"333","-62","-62","-62"
"334","-62","-62","-62"
"335","-62","-62","-62"
"336","-62","-62","-62"
"337","-63","-63","-63"
"338","-62","-62","-62"
"339","-63","-63","-63"
"340","-62","-62","-62"
"341","-61","-61","-61"
"342","-62","-62","-62"
"343","-62","-62","-62"
"344","-62","-62","-62"
"345","-61","-61","-61"
"346","-62","-62","-62"
"347","-62","-62","-62"
"348","-62","-62","-62"
"349","-62","-62","-62"
"350","-61","-61","-61"
"351","-62","-62","-62"
"352","-62","-62","-62"
"353","-62","-62","-62"
"354","-62","-62","-62"
"355","-63","-63","-63"
"356","-62","-62","-62"
"357","-61","-61","-61"
"358","-62","-62","-62"
"359","-62","-62","-62"
"360","-62","-62","-62"
"361","-62","-62","-62"
"362","-62","-62","-62"
"363","-62","-62","-62"
"364","-62","-62","-62"
"365","-62","-62","-62"
"366","-62","-62","-62"
"367","-63","-63","-63"
"368","-62","-62","-62"
"369","-62","-62","-62"
"370","-62","-62","-62"
"371","-62","-62","-62"
"372","-63","-63","-63"
"373","-62","-62","-62"
"374","-62","-62","-62"
"375","-62","-62","-62"
"376","-62","-62","-62"
"377","-63","-63","-63"
"378","-62","-62","-62"
"379","-62","-62","-62"
"380","-63","-63","-63"
"381","-62","-62","-62"
"382","-62","-62","-62"
"383","-63","-63","-63"
"384","-62","-62","-62"
"385","-62","-62","-62"
"386","-62","-62","-62"
"387","-63","-63","-63"
"388","-63","-63","-63"
"389","-61","-61","-61"
"390","-62","-62","-62"
"391","-63","-63","-63"
"392","-63","-63","-63"
"393","-62","-62","-62"
"394","-62","-62","-62"
"395","-61","-61","-61"
"396","-62","-62","-62"
"397","-62","-62","-62"
"398","-62","-62","-62"
"399","-62","-62","-62"
"400","-63","-63","-63"
"401","-62","-62","-62"
"402","-62","-62","-62"
"403","-62","-62","-62"
"404","-63","-63","-63"
"405","-60","-60","-60"
"406","-62","-62","-62"
"407","-62","-62","-62"
"408","-63","-63","-63"
"409","-62","-62","-62"
"410","-62","-62","-62"
"411","-62","-62","-62"
"412","-62","-62","-62"
"413","-62","-62","-62"
"414","-62","-62","-62"
"415","-62","-62","-62"
"416","-62","-62","-62"
"417","-62","-62","-62"
"418","-62","-62","-62"
"419","-62","-62","-62"
"420","-62","-62","-62"
"421","-62","-62","-62"
"422","-63","-63","-63"
"423","-61","-61","-61"
"424","-62","-62","-62"
"425","-61","-61","-61"
"426","-62","-62","-62"
"427","-62","-62","-62"
"428","-61","-61","-61"
"429","-61","-61","-61"
"430","-62","-62","-62"
"431","-61","-61","-61"
"432","-62","-62","-62"
"433","-61","-61","-61"
"434","-63","-63","-63"
"435","-62","-62","-62"
"436","-62","-62","-62"
"437","-62","-62","-62"
"438","-62","-62","-62"
"439","-63","-63","-63"
"440","-61","-61","-61"
"441","-62","-62","-62"
"442","-61","-61","-61"
"443","-62","-62","-62"
"444","-62","-62","-62"
"445","-61","-61","-61"
"446","-62","-62","-62"
"447","-61","-61","-61"
"448","-62","-62","-62"
"449","-62","-62","-62"
"450","-63","-63","-63"
"451","-62","-62","-62"
"452","-62","-62","-62"
"453","-61","-61","-61"
"454","-61","-61","-61"
"455","-61","-61","-61"
"456","-62","-62","-62"
"457","-63","-63","-63"
"458","-62","-62","-62"
"459","-62","-62","-62"
"460","-62","-62","-62"
"461","-61","-61","-61"
"462","-62","-62","-62"
"463","-62","-62","-62"
"464","-62","-62","-62"
"465","-62","-62","-62"
"466","-62","-62","-62"
"467","-62","-62","-62"
"468","-61","-61","-61"
"469","-62","-62","-62"
"470","-61","-61","-61"
"471","-63","-63","-63"
"472","-62","-62","-62"
"473","-61","-61","-61"
"474","-61","-61","-61"
"475","-61","-61","-61"
"476","-62","-62","-62"
"477","-62","-62","-62"
"478","-62","-62","-62"
"479","-62","-62","-62"
"480","-62","-62","-62"
"481","-61","-61","-61"
"482","-62","-62","-62"
"483","-62","-62","-62"
"484","-62","-62","-62"
"485","-61","-61","-61"
"486","-62","-62","-62"
"487","-61","-61","-61"
"488","-61","-61","-61"
"489","-61","-61","-61"
"490","-62","-62","-62"
"491","-61","-61","-61"
"492","-61","-61","-61"
"493","-61","-61","-61"
"494","-61","-61","-61"
"495","-61","-61","-61"
"496","-61","-61","-61"
"497","-62","-62","-62"
"498","-62","-62","-62"
"499","-61","-61","-61"
"500","-62","-62","-62"
"501","-61","-61","-61"
"502","-61","-61","-61"
"503","-62","-62","-62"
"504","-62","-62","-62"
"505","-62","-62","-62"
"506","-61","-61","-61"
"507","-62","-62","-62"
"508","-62","-62","-62"
"509","-62","-62","-62"
"510","-61","-61","-61"
"511","-61","-61","-61"
"512","-62","-62","-62"
"513","-61","-61","-61"
"514","-61","-61","-61"
"515","-62","-62","-62"
"516","-62","-62","-62"
"517","-62","-62","-62"
"518","-61","-61","-61"
"519","-62","-62","-62"
"520","-62","-62","-62"
"521","-61","-61","-61"
"522","-63","-63","-63"
"523","-62","-62","-62"
"524","-61","-61","-61"
"525","-62","-62","-62"
"526","-61","-61","-61"
"527","-61","-61","-61"
"528","-61","-61","-61"
"529","-61","-61","-61"
"530","-62","-62","-62"
"531","-61","-61","-61"
"532","-62","-62","-62"
"533","-61","-61","-61"
"534","-61","-61","-61"
"535","-62","-62","-62"
"536","-62","-62","-62"
"537","-60","-60","-60"
"538","-61","-61","-61"
"539","-61","-61","-61"
"540","-60","-60","-60"
"541","-62","-62","-62"
"542","-61","-61","-61"
"543","-60","-60","-60"
"544","-61","-61","-61"
"545","-61","-61","-61"
"546","-61","-61","-61"
"547","-62","-62","-62"
"548","-61","-61","-61"
"549","-60","-60","-60"
"550","-61","-61","-61"
"551","-61","-61","-61"
"552","-62","-62","-62"
"553","-62","-62","-62"
"554","-62","-62","-62"
"555","-62","-62","-62"
"556","-61","-61","-61"
"557","-61","-61","-61"
"558","-61","-61","-61"
"559","-62","-62","-62"
"560","-62","-62","-62"
"561","-61","-61","-61"
"562","-62","-62","-62"
"563","-61","-61","-61"
"564","-61","-61","-61"
"565","-61","-61","-61"
"566","-61","-61","-61"
"567","-62","-62","-62"
"568","-56","-56","-56"
"569","-60","-60","-60"
"570","-62","-62","-62"
"571","-61","-61","-61"
"572","-62","-62","-62"
"573","-60","-60","-60"
"574","-62","-62","-62"
"575","-61","-61","-61"
"576","-62","-62","-62"
"577","-61","-61","-61"
