"Step","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MIN","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MAX"
"232","-63","-63","-63"
"233","-63","-63","-63"
"234","-63","-63","-63"
"235","-63","-63","-63"
"236","-63","-63","-63"
"237","-65","-65","-65"
"238","-58","-58","-58"
"239","-64","-64","-64"
"240","-63","-63","-63"
"241","-62","-62","-62"
"242","-64","-64","-64"
"243","-64","-64","-64"
"244","-64","-64","-64"
"245","-63","-63","-63"
"246","-63","-63","-63"
"247","-64","-64","-64"
"248","-65","-65","-65"
"249","-64","-64","-64"
"250","-57","-57","-57"
"251","-63","-63","-63"
"252","-64","-64","-64"
"253","-63","-63","-63"
"254","-63","-63","-63"
"255","-63","-63","-63"
"256","-63","-63","-63"
"257","-64","-64","-64"
"258","-62","-62","-62"
"259","-64","-64","-64"
"260","-63","-63","-63"
"261","-64","-64","-64"
"262","-63","-63","-63"
"263","-63","-63","-63"
"264","-65","-65","-65"
"265","-63","-63","-63"
"266","-64","-64","-64"
"267","-64","-64","-64"
"268","-64","-64","-64"
"269","-63","-63","-63"
"270","-62","-62","-62"
"271","-64","-64","-64"
"272","-63","-63","-63"
"273","-63","-63","-63"
"274","-65","-65","-65"
"275","-63","-63","-63"
"276","-64","-64","-64"
"277","-64","-64","-64"
"278","-63","-63","-63"
"279","-63","-63","-63"
"280","-61","-61","-61"
"281","-64","-64","-64"
"282","-63","-63","-63"
"283","-64","-64","-64"
"284","-63","-63","-63"
"285","-64","-64","-64"
"286","-65","-65","-65"
"287","-64","-64","-64"
"288","-64","-64","-64"
"289","-63","-63","-63"
"290","-63","-63","-63"
"291","-64","-64","-64"
"292","-64","-64","-64"
"293","-63","-63","-63"
"294","-63","-63","-63"
"295","-64","-64","-64"
"296","-64","-64","-64"
"297","-57","-57","-57"
"298","-63","-63","-63"
"299","-62","-62","-62"
"300","-64","-64","-64"
"301","-64","-64","-64"
"302","-64","-64","-64"
"303","-63","-63","-63"
"304","-63","-63","-63"
"305","-63","-63","-63"
"306","-63","-63","-63"
"307","-63","-63","-63"
"308","-64","-64","-64"
"309","-63","-63","-63"
"310","-65","-65","-65"
"311","-64","-64","-64"
"312","-63","-63","-63"
"313","-62","-62","-62"
"314","-64","-64","-64"
"315","-66","-66","-66"
"316","-63","-63","-63"
"317","-63","-63","-63"
"318","-64","-64","-64"
"319","-64","-64","-64"
"320","-65","-65","-65"
"321","-64","-64","-64"
"322","-63","-63","-63"
"323","-63","-63","-63"
"324","-63","-63","-63"
"325","-63","-63","-63"
"326","-57","-57","-57"
"327","-63","-63","-63"
"328","-64","-64","-64"
"329","-66","-66","-66"
"330","-63","-63","-63"
"331","-64","-64","-64"
"332","-65","-65","-65"
"333","-63","-63","-63"
"334","-65","-65","-65"
"335","-64","-64","-64"
"336","-64","-64","-64"
"337","-64","-64","-64"
"338","-63","-63","-63"
"339","-64","-64","-64"
"340","-64","-64","-64"
"341","-62","-62","-62"
"342","-64","-64","-64"
"343","-63","-63","-63"
"344","-63","-63","-63"
"345","-64","-64","-64"
"346","-63","-63","-63"
"347","-62","-62","-62"
"348","-63","-63","-63"
"349","-64","-64","-64"
"350","-64","-64","-64"
"351","-63","-63","-63"
"352","-64","-64","-64"
"353","-64","-64","-64"
"354","-63","-63","-63"
"355","-63","-63","-63"
"356","-64","-64","-64"
"357","-64","-64","-64"
"358","-64","-64","-64"
"359","-64","-64","-64"
"360","-65","-65","-65"
"361","-63","-63","-63"
"362","-64","-64","-64"
"363","-63","-63","-63"
"364","-64","-64","-64"
"365","-64","-64","-64"
"366","-63","-63","-63"
"367","-64","-64","-64"
"368","-64","-64","-64"
"369","-64","-64","-64"
"370","-64","-64","-64"
"371","-63","-63","-63"
"372","-63","-63","-63"
"373","-63","-63","-63"
"374","-64","-64","-64"
"375","-64","-64","-64"
"376","-63","-63","-63"
"377","-64","-64","-64"
"378","-62","-62","-62"
"379","-67","-67","-67"
"380","-64","-64","-64"
"381","-64","-64","-64"
"382","-66","-66","-66"
"383","-65","-65","-65"
"384","-71","-71","-71"
"385","-64","-64","-64"
"386","-63","-63","-63"
"387","-63","-63","-63"
"388","-62","-62","-62"
"389","-64","-64","-64"
"390","-64","-64","-64"
"391","-62","-62","-62"
"392","-64","-64","-64"
"393","-62","-62","-62"
"394","-71","-71","-71"
"395","-62","-62","-62"
"396","-64","-64","-64"
"397","-66","-66","-66"
"398","-64","-64","-64"
"399","-64","-64","-64"
"400","-200","-200","-200"
"401","-200","-200","-200"
"402","-200","-200","-200"
"403","-200","-200","-200"
"404","-200","-200","-200"
"405","-200","-200","-200"
"406","-200","-200","-200"
"407","-200","-200","-200"
"408","-200","-200","-200"
"409","-200","-200","-200"
"410","-200","-200","-200"
"411","-200","-200","-200"
"412","-200","-200","-200"
"413","-200","-200","-200"
"414","-200","-200","-200"
"415","-200","-200","-200"
"416","-200","-200","-200"
"417","-200","-200","-200"
"418","-200","-200","-200"
"419","-200","-200","-200"
"420","-200","-200","-200"
"421","-200","-200","-200"
"422","-200","-200","-200"
"423","-200","-200","-200"
"424","-200","-200","-200"
"425","-200","-200","-200"
"426","-200","-200","-200"
"427","-200","-200","-200"
"428","-200","-200","-200"
"429","-200","-200","-200"
"430","-200","-200","-200"
"431","-200","-200","-200"
"432","-200","-200","-200"
"433","-200","-200","-200"
"434","-200","-200","-200"
"435","-200","-200","-200"
"436","-200","-200","-200"
"437","-200","-200","-200"
"438","-200","-200","-200"
"439","-200","-200","-200"
"440","-200","-200","-200"
"441","-200","-200","-200"
"442","-200","-200","-200"
"443","-200","-200","-200"
"444","-200","-200","-200"
"445","-200","-200","-200"
"446","-200","-200","-200"
"447","-200","-200","-200"
"448","-200","-200","-200"
"449","-200","-200","-200"
"450","-200","-200","-200"
"451","-200","-200","-200"
"452","-200","-200","-200"
"453","-200","-200","-200"
"454","-200","-200","-200"
"455","-200","-200","-200"
"456","-200","-200","-200"
"457","-200","-200","-200"
"458","-200","-200","-200"
"459","-200","-200","-200"
"460","-200","-200","-200"
"461","-200","-200","-200"
"462","-200","-200","-200"
"463","-200","-200","-200"
"464","-200","-200","-200"
"465","-200","-200","-200"
"466","-200","-200","-200"
"467","-200","-200","-200"
"468","-200","-200","-200"
"469","-200","-200","-200"
"470","-200","-200","-200"
"471","-200","-200","-200"
"472","-200","-200","-200"
"473","-200","-200","-200"
"474","-200","-200","-200"
"475","-200","-200","-200"
"476","-200","-200","-200"
"477","-200","-200","-200"
"478","-200","-200","-200"
"479","-200","-200","-200"
"480","-200","-200","-200"
"481","-200","-200","-200"
"482","-200","-200","-200"
"483","-200","-200","-200"
"484","-200","-200","-200"
"485","-200","-200","-200"
"486","-200","-200","-200"
"487","-200","-200","-200"
"488","-200","-200","-200"
"489","-200","-200","-200"
"490","-200","-200","-200"
"491","-200","-200","-200"
"492","-200","-200","-200"
"493","-200","-200","-200"
"494","-200","-200","-200"
"495","-200","-200","-200"
"496","-200","-200","-200"
"497","-200","-200","-200"
"498","-200","-200","-200"
"499","-200","-200","-200"
"500","-200","-200","-200"
"501","-200","-200","-200"
"502","-200","-200","-200"
"503","-200","-200","-200"
"504","-200","-200","-200"
"505","-200","-200","-200"
"506","-200","-200","-200"
"507","-200","-200","-200"
"508","-200","-200","-200"
"509","-200","-200","-200"
"510","-200","-200","-200"
"511","-200","-200","-200"
"512","-200","-200","-200"
"513","-200","-200","-200"
"514","-200","-200","-200"
"515","-200","-200","-200"
"516","-200","-200","-200"
"517","-200","-200","-200"
"518","-200","-200","-200"
"519","-200","-200","-200"
"520","-200","-200","-200"
"521","-200","-200","-200"
"522","-200","-200","-200"
"523","-200","-200","-200"
"524","-200","-200","-200"
"525","-200","-200","-200"
"526","-200","-200","-200"
"527","-200","-200","-200"
"528","-200","-200","-200"
"529","-200","-200","-200"
"530","-200","-200","-200"
"531","-200","-200","-200"
"532","-200","-200","-200"
"533","-200","-200","-200"
"534","-200","-200","-200"
"535","-200","-200","-200"
"536","-200","-200","-200"
"537","-200","-200","-200"
"538","-200","-200","-200"
"539","-200","-200","-200"
"540","-200","-200","-200"
"541","-200","-200","-200"
"542","-200","-200","-200"
"543","-200","-200","-200"
"544","-200","-200","-200"
"545","-200","-200","-200"
"546","-200","-200","-200"
"547","-200","-200","-200"
"548","-200","-200","-200"
"549","-200","-200","-200"
"550","-200","-200","-200"
"551","-200","-200","-200"
"552","-200","-200","-200"
"553","-200","-200","-200"
"554","-200","-200","-200"
"555","-200","-200","-200"
"556","-200","-200","-200"
"557","-200","-200","-200"
"558","-200","-200","-200"
"559","-200","-200","-200"
"560","-200","-200","-200"
"561","-200","-200","-200"
"562","-200","-200","-200"
"563","-200","-200","-200"
"564","-200","-200","-200"
"565","-200","-200","-200"
"566","-200","-200","-200"
"567","-200","-200","-200"
"568","-200","-200","-200"
"569","-200","-200","-200"
"570","-200","-200","-200"
"571","-200","-200","-200"
"572","-200","-200","-200"
"573","-200","-200","-200"
"574","-200","-200","-200"
"575","-200","-200","-200"
"576","-200","-200","-200"
"577","-200","-200","-200"
"578","-200","-200","-200"
"579","-200","-200","-200"
"580","-200","-200","-200"
"581","-200","-200","-200"
"582","-200","-200","-200"
"583","-200","-200","-200"
"584","-200","-200","-200"
"585","-200","-200","-200"
"586","-200","-200","-200"
"587","-200","-200","-200"
"588","-200","-200","-200"
"589","-200","-200","-200"
"590","-200","-200","-200"
"591","-200","-200","-200"
"592","-200","-200","-200"
"593","-200","-200","-200"
"594","-200","-200","-200"
"595","-200","-200","-200"
"596","-200","-200","-200"
"597","-200","-200","-200"
"598","-200","-200","-200"
"599","-200","-200","-200"
"600","-64","-64","-64"
"601","-64","-64","-64"
"602","-65","-65","-65"
"603","-72","-72","-72"
"604","-64","-64","-64"
"605","-65","-65","-65"
"606","-64","-64","-64"
"607","-65","-65","-65"
"608","-64","-64","-64"
"609","-64","-64","-64"
"610","-65","-65","-65"
"611","-65","-65","-65"
"612","-64","-64","-64"
"613","-64","-64","-64"
"614","-63","-63","-63"
"615","-63","-63","-63"
"616","-64","-64","-64"
"617","-64","-64","-64"
"618","-69","-69","-69"
"619","-64","-64","-64"
"620","-64","-64","-64"
"621","-64","-64","-64"
"622","-64","-64","-64"
"623","-71","-71","-71"
"624","-64","-64","-64"
"625","-63","-63","-63"
"626","-63","-63","-63"
"627","-64","-64","-64"
"628","-66","-66","-66"
"629","-65","-65","-65"
"630","-63","-63","-63"
"631","-63","-63","-63"
"632","-64","-64","-64"
"633","-64","-64","-64"
"634","-64","-64","-64"
"635","-66","-66","-66"
"636","-63","-63","-63"
"637","-64","-64","-64"
"638","-64","-64","-64"
"639","-64","-64","-64"
"640","-64","-64","-64"
"641","-69","-69","-69"
"642","-63","-63","-63"
"643","-64","-64","-64"
"644","-65","-65","-65"
"645","-63","-63","-63"
"646","-63","-63","-63"
"647","-64","-64","-64"
"648","-64","-64","-64"
"649","-65","-65","-65"
"650","-64","-64","-64"
"651","-65","-65","-65"
"652","-64","-64","-64"
"653","-64","-64","-64"
"654","-64","-64","-64"
"655","-64","-64","-64"
"656","-64","-64","-64"
"657","-64","-64","-64"
"658","-63","-63","-63"
"659","-64","-64","-64"
"660","-71","-71","-71"
"661","-71","-71","-71"
"662","-64","-64","-64"
"663","-65","-65","-65"
"664","-64","-64","-64"
"665","-64","-64","-64"
"666","-65","-65","-65"
"667","-63","-63","-63"
"668","-64","-64","-64"
"669","-65","-65","-65"
"670","-63","-63","-63"
"671","-64","-64","-64"
"672","-72","-72","-72"
"673","-63","-63","-63"
"674","-64","-64","-64"
"675","-64","-64","-64"
"676","-63","-63","-63"
"677","-62","-62","-62"
