"Step","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MIN","evosax_OpenES/generations_2000_strategy_OpenES_popsize_512_es_kws_{'sigma_init': 0.3} - current_best_fitness__MAX"
"232","-64","-64","-64"
"233","-64","-64","-64"
"234","-63","-63","-63"
"235","-64","-64","-64"
"236","-64","-64","-64"
"237","-64","-64","-64"
"238","-64","-64","-64"
"239","-64","-64","-64"
"240","-64","-64","-64"
"241","-63","-63","-63"
"242","-63","-63","-63"
"243","-65","-65","-65"
"244","-64","-64","-64"
"245","-63","-63","-63"
"246","-63","-63","-63"
"247","-64","-64","-64"
"248","-64","-64","-64"
"249","-63","-63","-63"
"250","-69","-69","-69"
"251","-63","-63","-63"
"252","-65","-65","-65"
"253","-64","-64","-64"
"254","-64","-64","-64"
"255","-64","-64","-64"
"256","-64","-64","-64"
"257","-63","-63","-63"
"258","-64","-64","-64"
"259","-63","-63","-63"
"260","-64","-64","-64"
"261","-64","-64","-64"
"262","-64","-64","-64"
"263","-64","-64","-64"
"264","-65","-65","-65"
"265","-65","-65","-65"
"266","-64","-64","-64"
"267","-71","-71","-71"
"268","-63","-63","-63"
"269","-65","-65","-65"
"270","-64","-64","-64"
"271","-64","-64","-64"
"272","-71","-71","-71"
"273","-64","-64","-64"
"274","-63","-63","-63"
"275","-64","-64","-64"
"276","-63","-63","-63"
"277","-70","-70","-70"
"278","-64","-64","-64"
"279","-64","-64","-64"
"280","-70","-70","-70"
"281","-64","-64","-64"
"282","-64","-64","-64"
"283","-64","-64","-64"
"284","-63","-63","-63"
"285","-63","-63","-63"
"286","-64","-64","-64"
"287","-64","-64","-64"
"288","-65","-65","-65"
"289","-64","-64","-64"
"290","-64","-64","-64"
"291","-63","-63","-63"
"292","-64","-64","-64"
"293","-65","-65","-65"
"294","-64","-64","-64"
"295","-65","-65","-65"
"296","-64","-64","-64"
"297","-65","-65","-65"
"298","-64","-64","-64"
"299","-65","-65","-65"
"300","-69","-69","-69"
"301","-70","-70","-70"
"302","-64","-64","-64"
"303","-63","-63","-63"
"304","-65","-65","-65"
"305","-64","-64","-64"
"306","-64","-64","-64"
"307","-64","-64","-64"
"308","-64","-64","-64"
"309","-63","-63","-63"
"310","-64","-64","-64"
"311","-65","-65","-65"
"312","-72","-72","-72"
"313","-63","-63","-63"
"314","-64","-64","-64"
"315","-63","-63","-63"
"316","-64","-64","-64"
"317","-68","-68","-68"
"318","-63","-63","-63"
"319","-63","-63","-63"
"320","-63","-63","-63"
"321","-73","-73","-73"
"322","-64","-64","-64"
"323","-70","-70","-70"
"324","-72","-72","-72"
"325","-63","-63","-63"
"326","-71","-71","-71"
"327","-63","-63","-63"
"328","-64","-64","-64"
"329","-63","-63","-63"
"330","-70","-70","-70"
"331","-65","-65","-65"
"332","-72","-72","-72"
"333","-65","-65","-65"
"334","-64","-64","-64"
"335","-65","-65","-65"
"336","-64","-64","-64"
"337","-64","-64","-64"
"338","-72","-72","-72"
"339","-64","-64","-64"
"340","-64","-64","-64"
"341","-64","-64","-64"
"342","-64","-64","-64"
"343","-64","-64","-64"
"344","-63","-63","-63"
"345","-64","-64","-64"
"346","-64","-64","-64"
"347","-64","-64","-64"
"348","-63","-63","-63"
"349","-64","-64","-64"
"350","-69","-69","-69"
"351","-64","-64","-64"
"352","-71","-71","-71"
"353","-64","-64","-64"
"354","-64","-64","-64"
"355","-64","-64","-64"
"356","-63","-63","-63"
"357","-64","-64","-64"
"358","-64","-64","-64"
"359","-63","-63","-63"
"360","-63","-63","-63"
"361","-64","-64","-64"
"362","-64","-64","-64"
"363","-65","-65","-65"
"364","-64","-64","-64"
"365","-63","-63","-63"
"366","-65","-65","-65"
"367","-64","-64","-64"
"368","-63","-63","-63"
"369","-64","-64","-64"
"370","-63","-63","-63"
"371","-63","-63","-63"
"372","-66","-66","-66"
"373","-65","-65","-65"
"374","-71","-71","-71"
"375","-64","-64","-64"
"376","-64","-64","-64"
"377","-64","-64","-64"
"378","-71","-71","-71"
"379","-72","-72","-72"
"380","-71","-71","-71"
"381","-63","-63","-63"
"382","-65","-65","-65"
"383","-63","-63","-63"
"384","-65","-65","-65"
"385","-71","-71","-71"
"386","-63","-63","-63"
"387","-64","-64","-64"
"388","-71","-71","-71"
"389","-68","-68","-68"
"390","-63","-63","-63"
"391","-63","-63","-63"
"392","-71","-71","-71"
"393","-69","-69","-69"
"394","-71","-71","-71"
"395","-73","-73","-73"
"396","-63","-63","-63"
"397","-64","-64","-64"
"398","-64","-64","-64"
"399","-64","-64","-64"
"400","-64","-64","-64"
"401","-66","-66","-66"
"402","-69","-69","-69"
"403","-63","-63","-63"
"404","-63","-63","-63"
"405","-63","-63","-63"
"406","-64","-64","-64"
"407","-63","-63","-63"
"408","-63","-63","-63"
"409","-63","-63","-63"
"410","-65","-65","-65"
"411","-64","-64","-64"
"412","-69","-69","-69"
"413","-63","-63","-63"
"414","-71","-71","-71"
"415","-64","-64","-64"
"416","-72","-72","-72"
"417","-64","-64","-64"
"418","-65","-65","-65"
"419","-69","-69","-69"
"420","-69","-69","-69"
"421","-64","-64","-64"
"422","-64","-64","-64"
"423","-64","-64","-64"
"424","-64","-64","-64"
"425","-64","-64","-64"
"426","-72","-72","-72"
"427","-64","-64","-64"
"428","-71","-71","-71"
"429","-71","-71","-71"
"430","-64","-64","-64"
"431","-69","-69","-69"
"432","-64","-64","-64"
"433","-63","-63","-63"
"434","-65","-65","-65"
"435","-63","-63","-63"
"436","-63","-63","-63"
"437","-64","-64","-64"
"438","-72","-72","-72"
"439","-63","-63","-63"
"440","-64","-64","-64"
"441","-64","-64","-64"
"442","-63","-63","-63"
"443","-65","-65","-65"
"444","-63","-63","-63"
"445","-64","-64","-64"
"446","-64","-64","-64"
"447","-68","-68","-68"
"448","-64","-64","-64"
"449","-71","-71","-71"
"450","-70","-70","-70"
"451","-64","-64","-64"
"452","-64","-64","-64"
"453","-70","-70","-70"
"454","-64","-64","-64"
"455","-73","-73","-73"
"456","-70","-70","-70"
"457","-64","-64","-64"
"458","-64","-64","-64"
"459","-65","-65","-65"
"460","-63","-63","-63"
"461","-66","-66","-66"
"462","-64","-64","-64"
"463","-68","-68","-68"
"464","-63","-63","-63"
"465","-64","-64","-64"
"466","-72","-72","-72"
"467","-64","-64","-64"
"468","-64","-64","-64"
"469","-63","-63","-63"
"470","-70","-70","-70"
"471","-64","-64","-64"
"472","-70","-70","-70"
"473","-69","-69","-69"
"474","-64","-64","-64"
"475","-64","-64","-64"
"476","-63","-63","-63"
"477","-72","-72","-72"
"478","-64","-64","-64"
"479","-70","-70","-70"
"480","-68","-68","-68"
"481","-69","-69","-69"
"482","-70","-70","-70"
"483","-65","-65","-65"
"484","-62","-62","-62"
"485","-69","-69","-69"
"486","-63","-63","-63"
"487","-65","-65","-65"
"488","-71","-71","-71"
"489","-69","-69","-69"
"490","-72","-72","-72"
"491","-63","-63","-63"
"492","-68","-68","-68"
"493","-63","-63","-63"
"494","-64","-64","-64"
"495","-63","-63","-63"
"496","-68","-68","-68"
"497","-63","-63","-63"
"498","-63","-63","-63"
"499","-70","-70","-70"
"500","-63","-63","-63"
"501","-70","-70","-70"
"502","-63","-63","-63"
"503","-71","-71","-71"
"504","-70","-70","-70"
"505","-64","-64","-64"
"506","-70","-70","-70"
"507","-69","-69","-69"
"508","-64","-64","-64"
"509","-68","-68","-68"
"510","-64","-64","-64"
"511","-63","-63","-63"
"512","-70","-70","-70"
"513","-64","-64","-64"
"514","-63","-63","-63"
"515","-68","-68","-68"
"516","-64","-64","-64"
"517","-63","-63","-63"
"518","-63","-63","-63"
"519","-70","-70","-70"
"520","-68","-68","-68"
"521","-74","-74","-74"
"522","-69","-69","-69"
"523","-63","-63","-63"
"524","-63","-63","-63"
"525","-64","-64","-64"
"526","-64","-64","-64"
"527","-70","-70","-70"
"528","-63","-63","-63"
"529","-69","-69","-69"
"530","-65","-65","-65"
"531","-57","-57","-57"
"532","-63","-63","-63"
"533","-70","-70","-70"
"534","-64","-64","-64"
"535","-64","-64","-64"
"536","-71","-71","-71"
"537","-64","-64","-64"
"538","-63","-63","-63"
"539","-64","-64","-64"
"540","-64","-64","-64"
"541","-71","-71","-71"
"542","-63","-63","-63"
"543","-69","-69","-69"
"544","-64","-64","-64"
"545","-63","-63","-63"
"546","-68","-68","-68"
"547","-57","-57","-57"
"548","-69","-69","-69"
"549","-70","-70","-70"
"550","-64","-64","-64"
"551","-72","-72","-72"
"552","-69","-69","-69"
"553","-68","-68","-68"
"554","-70","-70","-70"
"555","-70","-70","-70"
"556","-72","-72","-72"
"557","-63","-63","-63"
"558","-70","-70","-70"
"559","-70","-70","-70"
"560","-64","-64","-64"
"561","-69","-69","-69"
"562","-71","-71","-71"
"563","-64","-64","-64"
"564","-70","-70","-70"
"565","-63","-63","-63"
"566","-69","-69","-69"
"567","-64","-64","-64"
"568","-70","-70","-70"
"569","-63","-63","-63"
"570","-71","-71","-71"
"571","-63","-63","-63"
"572","-73","-73","-73"
"573","-63","-63","-63"
"574","-63","-63","-63"
"575","-64","-64","-64"
"576","-69","-69","-69"
"577","-72","-72","-72"
"578","-72","-72","-72"
"579","-63","-63","-63"
"580","-69","-69","-69"
"581","-64","-64","-64"
"582","-63","-63","-63"
"583","-69","-69","-69"
"584","-64","-64","-64"
"585","-73","-73","-73"
"586","-64","-64","-64"
"587","-71","-71","-71"
"588","-62","-62","-62"
"589","-71","-71","-71"
"590","-70","-70","-70"
"591","-64","-64","-64"
"592","-63","-63","-63"
"593","-64","-64","-64"
"594","-69","-69","-69"
"595","-69","-69","-69"
"596","-71","-71","-71"
"597","-64","-64","-64"
"598","-63","-63","-63"
"599","-63","-63","-63"
"600","-72","-72","-72"
