"Step","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness__MIN","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness__MAX"
"231","-66","-66","-66"
"232","-68","-68","-68"
"233","-67","-67","-67"
"234","-66","-66","-66"
"235","-68","-68","-68"
"236","-80","-80","-80"
"237","-78","-78","-78"
"238","-71","-71","-71"
"239","-73","-73","-73"
"240","-67","-67","-67"
"241","-68","-68","-68"
"242","-66","-66","-66"
"243","-71","-71","-71"
"244","-66","-66","-66"
"245","-65","-65","-65"
"246","-65","-65","-65"
"247","-64","-64","-64"
"248","-64","-64","-64"
"249","-71","-71","-71"
"250","-64","-64","-64"
"251","-64","-64","-64"
"252","-68","-68","-68"
"253","-64","-64","-64"
"254","-64","-64","-64"
"255","-65","-65","-65"
"256","-71","-71","-71"
"257","-66","-66","-66"
"258","-79","-79","-79"
"259","-65","-65","-65"
"260","-65","-65","-65"
"261","-73","-73","-73"
"262","-65","-65","-65"
"263","-74","-74","-74"
"264","-72","-72","-72"
"265","-71","-71","-71"
"266","-75","-75","-75"
"267","-73","-73","-73"
"268","-73","-73","-73"
"269","-64","-64","-64"
"270","-64","-64","-64"
"271","-77","-77","-77"
"272","-65","-65","-65"
"273","-64","-64","-64"
"274","-66","-66","-66"
"275","-64","-64","-64"
"276","-64","-64","-64"
"277","-71","-71","-71"
"278","-64","-64","-64"
"279","-78","-78","-78"
"280","-80","-80","-80"
"281","-72","-72","-72"
"282","-71","-71","-71"
"283","-64","-64","-64"
"284","-64","-64","-64"
"285","-77","-77","-77"
"286","-64","-64","-64"
"287","-72","-72","-72"
"288","-73","-73","-73"
"289","-63","-63","-63"
"290","-77","-77","-77"
"291","-65","-65","-65"
"292","-71","-71","-71"
"293","-71","-71","-71"
"294","-72","-72","-72"
"295","-64","-64","-64"
"296","-64","-64","-64"
"297","-67","-67","-67"
"298","-64","-64","-64"
"299","-73","-73","-73"
"300","-72","-72","-72"
"301","-64","-64","-64"
"302","-79","-79","-79"
"303","-66","-66","-66"
"304","-95","-95","-95"
"305","-64","-64","-64"
"306","-64","-64","-64"
"307","-75","-75","-75"
"308","-68","-68","-68"
"309","-64","-64","-64"
"310","-64","-64","-64"
"311","-72","-72","-72"
"312","-78","-78","-78"
"313","-72","-72","-72"
"314","-84","-84","-84"
"315","-64","-64","-64"
"316","-64","-64","-64"
"317","-68","-68","-68"
"318","-67","-67","-67"
"319","-66","-66","-66"
"320","-64","-64","-64"
"321","-72","-72","-72"
"322","-67","-67","-67"
"323","-68","-68","-68"
"324","-66","-66","-66"
"325","-76","-76","-76"
"326","-74","-74","-74"
"327","-67","-67","-67"
"328","-73","-73","-73"
"329","-67","-67","-67"
"330","-72","-72","-72"
"331","-72","-72","-72"
