"Step","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness__MIN","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness__MAX"
"0","-78","-78","-78"
"1","-71","-71","-71"
"2","-82","-82","-82"
"3","-65","-65","-65"
"4","-80","-80","-80"
"5","-76","-76","-76"
"6","-86","-86","-86"
"7","-65","-65","-65"
"8","-74","-74","-74"
"9","-76","-76","-76"
"10","-67","-67","-67"
"11","-65","-65","-65"
"12","-72","-72","-72"
"13","-67","-67","-67"
"14","-65","-65","-65"
"15","-75","-75","-75"
"16","-73","-73","-73"
"17","-65","-65","-65"
"18","-70","-70","-70"
"19","-68","-68","-68"
"20","-69","-69","-69"
"21","-63","-63","-63"
"22","-65","-65","-65"
"23","-64","-64","-64"
"24","-64","-64","-64"
"25","-64","-64","-64"
"26","-61","-61","-61"
"27","-63","-63","-63"
"28","-64","-64","-64"
"29","-62","-62","-62"
"30","-63","-63","-63"
"31","-64","-64","-64"
"32","-63","-63","-63"
"33","-64","-64","-64"
"34","-63","-63","-63"
"35","-64","-64","-64"
"36","-64","-64","-64"
"37","-64","-64","-64"
"38","-62","-62","-62"
"39","-63","-63","-63"
"40","-63","-63","-63"
"41","-63","-63","-63"
"42","-63","-63","-63"
"43","-64","-64","-64"
"44","-64","-64","-64"
"45","-64","-64","-64"
"46","-64","-64","-64"
"47","-63","-63","-63"
"48","-63","-63","-63"
"49","-64","-64","-64"
"50","-63","-63","-63"
"51","-64","-64","-64"
"52","-62","-62","-62"
"53","-64","-64","-64"
"54","-64","-64","-64"
"55","-64","-64","-64"
"56","-63","-63","-63"
"57","-64","-64","-64"
"58","-63","-63","-63"
"59","-63","-63","-63"
"60","-63","-63","-63"
"61","-64","-64","-64"
"62","-64","-64","-64"
"63","-63","-63","-63"
"64","-63","-63","-63"
"65","-64","-64","-64"
"66","-64","-64","-64"
"67","-64","-64","-64"
"68","-64","-64","-64"
"69","-64","-64","-64"
"70","-64","-64","-64"
"71","-64","-64","-64"
"72","-64","-64","-64"
"73","-64","-64","-64"
"74","-64","-64","-64"
"75","-64","-64","-64"
"76","-64","-64","-64"
"77","-64","-64","-64"
"78","-64","-64","-64"
"79","-64","-64","-64"
"80","-64","-64","-64"
"81","-64","-64","-64"
"82","-64","-64","-64"
"83","-64","-64","-64"
"84","-65","-65","-65"
"85","-64","-64","-64"
"86","-64","-64","-64"
"87","-64","-64","-64"
"88","-64","-64","-64"
"89","-66","-66","-66"
"90","-64","-64","-64"
"91","-64","-64","-64"
"92","-65","-65","-65"
"93","-64","-64","-64"
"94","-64","-64","-64"
"95","-64","-64","-64"
"96","-63","-63","-63"
"97","-63","-63","-63"
"98","-64","-64","-64"
"99","-64","-64","-64"
"100","-64","-64","-64"
"101","-64","-64","-64"
"102","-65","-65","-65"
"103","-64","-64","-64"
"104","-64","-64","-64"
"105","-64","-64","-64"
"106","-63","-63","-63"
"107","-66","-66","-66"
"108","-63","-63","-63"
"109","-64","-64","-64"
"110","-64","-64","-64"
"111","-65","-65","-65"
"112","-66","-66","-66"
"113","-66","-66","-66"
"114","-65","-65","-65"
"115","-63","-63","-63"
"116","-64","-64","-64"
"117","-64","-64","-64"
"118","-64","-64","-64"
"119","-65","-65","-65"
"120","-63","-63","-63"
"121","-64","-64","-64"
"122","-64","-64","-64"
"123","-66","-66","-66"
"124","-64","-64","-64"
"125","-64","-64","-64"
"126","-71","-71","-71"
"127","-64","-64","-64"
"128","-66","-66","-66"
"129","-66","-66","-66"
"130","-65","-65","-65"
"131","-64","-64","-64"
"132","-65","-65","-65"
"133","-64","-64","-64"
"134","-64","-64","-64"
"135","-65","-65","-65"
"136","-65","-65","-65"
"137","-72","-72","-72"
"138","-66","-66","-66"
"139","-64","-64","-64"
"140","-64","-64","-64"
"141","-64","-64","-64"
"142","-64","-64","-64"
"143","-64","-64","-64"
"144","-64","-64","-64"
"145","-64","-64","-64"
"146","-64","-64","-64"
"147","-65","-65","-65"
"148","-66","-66","-66"
"149","-64","-64","-64"
"150","-66","-66","-66"
"151","-64","-64","-64"
"152","-65","-65","-65"
"153","-71","-71","-71"
"154","-65","-65","-65"
"155","-65","-65","-65"
"156","-64","-64","-64"
"157","-64","-64","-64"
"158","-64","-64","-64"
"159","-64","-64","-64"
"160","-65","-65","-65"
"161","-64","-64","-64"
"162","-78","-78","-78"
"163","-65","-65","-65"
"164","-64","-64","-64"
"165","-71","-71","-71"
"166","-64","-64","-64"
"167","-64","-64","-64"
"168","-64","-64","-64"
"169","-65","-65","-65"
"170","-65","-65","-65"
"171","-64","-64","-64"
"172","-66","-66","-66"
"173","-66","-66","-66"
"174","-65","-65","-65"
"175","-64","-64","-64"
"176","-66","-66","-66"
"177","-64","-64","-64"
"178","-65","-65","-65"
"179","-66","-66","-66"
"180","-66","-66","-66"
"181","-73","-73","-73"
"182","-64","-64","-64"
"183","-65","-65","-65"
"184","-65","-65","-65"
"185","-63","-63","-63"
"186","-64","-64","-64"
"187","-64","-64","-64"
"188","-64","-64","-64"
"189","-71","-71","-71"
"190","-66","-66","-66"
"191","-65","-65","-65"
"192","-65","-65","-65"
"193","-70","-70","-70"
"194","-65","-65","-65"
"195","-72","-72","-72"
"196","-66","-66","-66"
"197","-66","-66","-66"
"198","-65","-65","-65"
"199","-87","-87","-87"
"200","-64","-64","-64"
"201","-73","-73","-73"
"202","-64","-64","-64"
"203","-72","-72","-72"
"204","-64","-64","-64"
"205","-65","-65","-65"
"206","-64","-64","-64"
"207","-64","-64","-64"
"208","-77","-77","-77"
"209","-73","-73","-73"
"210","-64","-64","-64"
"211","-65","-65","-65"
"212","-66","-66","-66"
"213","-64","-64","-64"
"214","-64","-64","-64"
"215","-64","-64","-64"
"216","-90","-90","-90"
"217","-64","-64","-64"
"218","-63","-63","-63"
"219","-64","-64","-64"
"220","-64","-64","-64"
"221","-73","-73","-73"
"222","-73","-73","-73"
"223","-73","-73","-73"
"224","-68","-68","-68"
"225","-65","-65","-65"
"226","-64","-64","-64"
"227","-66","-66","-66"
"228","-72","-72","-72"
"229","-64","-64","-64"
"230","-73","-73","-73"
"231","-73","-73","-73"
"232","-72","-72","-72"
"233","-71","-71","-71"
"234","-65","-65","-65"
"235","-72","-72","-72"
"236","-75","-75","-75"
"237","-65","-65","-65"
"238","-88","-88","-88"
"239","-200","-200","-200"
"240","-76","-76","-76"
"241","-91","-91","-91"
"242","-64","-64","-64"
"243","-91","-91","-91"
"244","-72","-72","-72"
"245","-65","-65","-65"
"246","-68","-68","-68"
"247","-80","-80","-80"
"248","-67","-67","-67"
"249","-63","-63","-63"
"250","-73","-73","-73"
"251","-66","-66","-66"
"252","-71","-71","-71"
"253","-65","-65","-65"
"254","-68","-68","-68"
"255","-66","-66","-66"
"256","-86","-86","-86"
"257","-67","-67","-67"
"258","-64","-64","-64"
"259","-71","-71","-71"
"260","-74","-74","-74"
"261","-73","-73","-73"
"262","-73","-73","-73"
"263","-67","-67","-67"
"264","-67","-67","-67"
"265","-64","-64","-64"
"266","-64","-64","-64"
"267","-66","-66","-66"
"268","-78","-78","-78"
"269","-66","-66","-66"
"270","-73","-73","-73"
"271","-73","-73","-73"
"272","-80","-80","-80"
"273","-66","-66","-66"
"274","-66","-66","-66"
"275","-66","-66","-66"
"276","-63","-63","-63"
"277","-71","-71","-71"
"278","-64","-64","-64"
"279","-72","-72","-72"
"280","-75","-75","-75"
"281","-80","-80","-80"
"282","-78","-78","-78"
"283","-72","-72","-72"
"284","-80","-80","-80"
"285","-84","-84","-84"
"286","-64","-64","-64"
"287","-66","-66","-66"
"288","-74","-74","-74"
"289","-103","-103","-103"
"290","-80","-80","-80"
"291","-78","-78","-78"
"292","-78","-78","-78"
"293","-72","-72","-72"
"294","-91","-91","-91"
"295","-64","-64","-64"
"296","-79","-79","-79"
"297","-71","-71","-71"
"298","-71","-71","-71"
"299","-75","-75","-75"
"300","-93","-93","-93"
"301","-66","-66","-66"
"302","-75","-75","-75"
"303","-80","-80","-80"
"304","-64","-64","-64"
"305","-80","-80","-80"
"306","-72","-72","-72"
"307","-78","-78","-78"
"308","-75","-75","-75"
"309","-80","-80","-80"
"310","-66","-66","-66"
"311","-71","-71","-71"
"312","-78","-78","-78"
"313","-66","-66","-66"
"314","-67","-67","-67"
"315","-76","-76","-76"
"316","-115","-115","-115"
"317","-66","-66","-66"
"318","-66","-66","-66"
"319","-72","-72","-72"
"320","-73","-73","-73"
"321","-78","-78","-78"
"322","-63","-63","-63"
"323","-74","-74","-74"
"324","-73","-73","-73"
"325","-78","-78","-78"
"326","-79","-79","-79"
"327","-73","-73","-73"
"328","-72","-72","-72"
"329","-81","-81","-81"
"330","-81","-81","-81"
"331","-71","-71","-71"
"332","-64","-64","-64"
"333","-72","-72","-72"
"334","-71","-71","-71"
"335","-64","-64","-64"
"336","-64","-64","-64"
"337","-73","-73","-73"
"338","-72","-72","-72"
"339","-66","-66","-66"
"340","-96","-96","-96"
"341","-74","-74","-74"
"342","-74","-74","-74"
"343","-64","-64","-64"
"344","-75","-75","-75"
"345","-77","-77","-77"
"346","-64","-64","-64"
"347","-72","-72","-72"
"348","-71","-71","-71"
"349","-200","-200","-200"
"350","-73","-73","-73"
"351","-65","-65","-65"
"352","-72","-72","-72"
"353","-76","-76","-76"
"354","-89","-89","-89"
"355","-71","-71","-71"
"356","-75","-75","-75"
"357","-96","-96","-96"
"358","-91","-91","-91"
"359","-66","-66","-66"
"360","-76","-76","-76"
"361","-75","-75","-75"
"362","-78","-78","-78"
"363","-66","-66","-66"
"364","-64","-64","-64"
"365","-74","-74","-74"
"366","-65","-65","-65"
"367","-66","-66","-66"
"368","-67","-67","-67"
"369","-152","-152","-152"
"370","-64","-64","-64"
"371","-80","-80","-80"
"372","-72","-72","-72"
"373","-65","-65","-65"
"374","-64","-64","-64"
"375","-71","-71","-71"
"376","-66","-66","-66"
"377","-68","-68","-68"
"378","-64","-64","-64"
"379","-66","-66","-66"
"380","-71","-71","-71"
"381","-73","-73","-73"
"382","-73","-73","-73"
"383","-93","-93","-93"
"384","-72","-72","-72"
"385","-71","-71","-71"
"386","-63","-63","-63"
"387","-105","-105","-105"
"388","-71","-71","-71"
"389","-64","-64","-64"
"390","-75","-75","-75"
"391","-87","-87","-87"
"392","-91","-91","-91"
"393","-64","-64","-64"
"394","-65","-65","-65"
"395","-66","-66","-66"
"396","-72","-72","-72"
"397","-71","-71","-71"
"398","-63","-63","-63"
"399","-75","-75","-75"
