"Step","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness__MIN","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness__MAX"
"0","-86","-86","-86"
"1","-78","-78","-78"
"2","-72","-72","-72"
"3","-70","-70","-70"
"4","-91","-91","-91"
"5","-64","-64","-64"
"6","-79","-79","-79"
"7","-63","-63","-63"
"8","-65","-65","-65"
"9","-64","-64","-64"
"10","-72","-72","-72"
"11","-65","-65","-65"
"12","-65","-65","-65"
"13","-65","-65","-65"
"14","-63","-63","-63"
"15","-68","-68","-68"
"16","-63","-63","-63"
"17","-70","-70","-70"
"18","-64","-64","-64"
"19","-65","-65","-65"
"20","-64","-64","-64"
"21","-62","-62","-62"
"22","-64","-64","-64"
"23","-63","-63","-63"
"24","-63","-63","-63"
"25","-63","-63","-63"
"26","-64","-64","-64"
"27","-64","-64","-64"
"28","-62","-62","-62"
"29","-63","-63","-63"
"30","-63","-63","-63"
"31","-63","-63","-63"
"32","-63","-63","-63"
"33","-61","-61","-61"
"34","-64","-64","-64"
"35","-63","-63","-63"
"36","-63","-63","-63"
"37","-64","-64","-64"
"38","-64","-64","-64"
"39","-63","-63","-63"
"40","-63","-63","-63"
"41","-65","-65","-65"
"42","-64","-64","-64"
"43","-62","-62","-62"
"44","-64","-64","-64"
"45","-64","-64","-64"
"46","-63","-63","-63"
"47","-63","-63","-63"
"48","-63","-63","-63"
"49","-63","-63","-63"
"50","-62","-62","-62"
"51","-64","-64","-64"
"52","-63","-63","-63"
"53","-64","-64","-64"
"54","-64","-64","-64"
"55","-64","-64","-64"
"56","-62","-62","-62"
"57","-63","-63","-63"
"58","-63","-63","-63"
"59","-63","-63","-63"
"60","-69","-69","-69"
"61","-63","-63","-63"
"62","-63","-63","-63"
"63","-63","-63","-63"
"64","-64","-64","-64"
"65","-63","-63","-63"
"66","-62","-62","-62"
"67","-63","-63","-63"
"68","-62","-62","-62"
"69","-63","-63","-63"
"70","-63","-63","-63"
"71","-63","-63","-63"
"72","-63","-63","-63"
"73","-67","-67","-67"
"74","-64","-64","-64"
"75","-63","-63","-63"
"76","-68","-68","-68"
"77","-63","-63","-63"
"78","-63","-63","-63"
"79","-63","-63","-63"
"80","-71","-71","-71"
"81","-64","-64","-64"
"82","-70","-70","-70"
"83","-63","-63","-63"
"84","-63","-63","-63"
"85","-58","-58","-58"
"86","-63","-63","-63"
"87","-64","-64","-64"
"88","-63","-63","-63"
"89","-67","-67","-67"
"90","-63","-63","-63"
"91","-63","-63","-63"
"92","-63","-63","-63"
"93","-65","-65","-65"
"94","-63","-63","-63"
"95","-63","-63","-63"
"96","-71","-71","-71"
"97","-63","-63","-63"
"98","-63","-63","-63"
"99","-69","-69","-69"
"100","-63","-63","-63"
"101","-69","-69","-69"
"102","-70","-70","-70"
"103","-63","-63","-63"
"104","-63","-63","-63"
"105","-63","-63","-63"
"106","-69","-69","-69"
"107","-64","-64","-64"
"108","-65","-65","-65"
"109","-63","-63","-63"
"110","-71","-71","-71"
"111","-64","-64","-64"
"112","-69","-69","-69"
"113","-62","-62","-62"
"114","-69","-69","-69"
"115","-61","-61","-61"
"116","-64","-64","-64"
"117","-70","-70","-70"
"118","-69","-69","-69"
"119","-71","-71","-71"
"120","-62","-62","-62"
"121","-65","-65","-65"
"122","-64","-64","-64"
"123","-64","-64","-64"
"124","-71","-71","-71"
"125","-58","-58","-58"
"126","-69","-69","-69"
"127","-69","-69","-69"
"128","-71","-71","-71"
"129","-64","-64","-64"
"130","-69","-69","-69"
"131","-68","-68","-68"
"132","-71","-71","-71"
"133","-62","-62","-62"
"134","-69","-69","-69"
"135","-69","-69","-69"
"136","-68","-68","-68"
"137","-68","-68","-68"
"138","-68","-68","-68"
"139","-70","-70","-70"
"140","-71","-71","-71"
"141","-62","-62","-62"
"142","-70","-70","-70"
"143","-63","-63","-63"
"144","-63","-63","-63"
"145","-64","-64","-64"
"146","-71","-71","-71"
"147","-69","-69","-69"
"148","-70","-70","-70"
"149","-61","-61","-61"
"150","-69","-69","-69"
"151","-71","-71","-71"
"152","-70","-70","-70"
"153","-70","-70","-70"
"154","-63","-63","-63"
"155","-69","-69","-69"
"156","-71","-71","-71"
"157","-69","-69","-69"
"158","-69","-69","-69"
"159","-63","-63","-63"
"160","-68","-68","-68"
"161","-63","-63","-63"
"162","-70","-70","-70"
"163","-63","-63","-63"
"164","-70","-70","-70"
"165","-63","-63","-63"
"166","-62","-62","-62"
"167","-71","-71","-71"
"168","-63","-63","-63"
"169","-71","-71","-71"
"170","-71","-71","-71"
"171","-71","-71","-71"
"172","-70","-70","-70"
"173","-70","-70","-70"
"174","-62","-62","-62"
"175","-62","-62","-62"
"176","-63","-63","-63"
"177","-70","-70","-70"
"178","-71","-71","-71"
"179","-62","-62","-62"
"180","-70","-70","-70"
"181","-64","-64","-64"
"182","-71","-71","-71"
"183","-71","-71","-71"
"184","-71","-71","-71"
"185","-62","-62","-62"
"186","-71","-71","-71"
"187","-70","-70","-70"
"188","-64","-64","-64"
"189","-63","-63","-63"
"190","-75","-75","-75"
"191","-63","-63","-63"
"192","-71","-71","-71"
"193","-74","-74","-74"
"194","-62","-62","-62"
"195","-62","-62","-62"
"196","-63","-63","-63"
"197","-69","-69","-69"
"198","-69","-69","-69"
"199","-71","-71","-71"
"200","-64","-64","-64"
"201","-75","-75","-75"
"202","-66","-66","-66"
"203","-66","-66","-66"
"204","-64","-64","-64"
"205","-64","-64","-64"
"206","-64","-64","-64"
"207","-70","-70","-70"
"208","-71","-71","-71"
"209","-66","-66","-66"
"210","-75","-75","-75"
"211","-64","-64","-64"
"212","-63","-63","-63"
"213","-66","-66","-66"
"214","-64","-64","-64"
"215","-63","-63","-63"
"216","-63","-63","-63"
"217","-63","-63","-63"
"218","-65","-65","-65"
"219","-75","-75","-75"
"220","-72","-72","-72"
"221","-63","-63","-63"
"222","-72","-72","-72"
"223","-62","-62","-62"
"224","-63","-63","-63"
