"Step","brax_ppo/num_timesteps_800000 - current_best_fitness","brax_ppo/num_timesteps_800000 - current_best_fitness__MIN","brax_ppo/num_timesteps_800000 - current_best_fitness__MAX"
"0","-200","-200","-200"
"1","-200","-200","-200"
"2","-200","-200","-200"
"3","-200","-200","-200"
"4","-200","-200","-200"
"5","-200","-200","-200"
"6","-200","-200","-200"
"7","-200","-200","-200"
"8","-192.046875","-192.046875","-192.046875"
"9","-190.6015625","-190.6015625","-190.6015625"
"10","-187.4453125","-187.4453125","-187.4453125"
"11","-159.6953125","-159.6953125","-159.6953125"
"12","-128.4296875","-128.4296875","-128.4296875"
"13","-109.1875","-109.1875","-109.1875"
"14","-93.1171875","-93.1171875","-93.1171875"
"15","-86.3125","-86.3125","-86.3125"
"16","-82.1875","-82.1875","-82.1875"
"17","-79.109375","-79.109375","-79.109375"
"18","-79.7578125","-79.7578125","-79.7578125"
"19","-79.1328125","-79.1328125","-79.1328125"
"20","-78.4765625","-78.4765625","-78.4765625"
"21","-77.5234375","-77.5234375","-77.5234375"
"22","-78.640625","-78.640625","-78.640625"
"23","-79.0859375","-79.0859375","-79.0859375"
"24","-78.03125","-78.03125","-78.03125"
"25","-81.4140625","-81.4140625","-81.4140625"
"26","-81.7578125","-81.7578125","-81.7578125"
"27","-79.953125","-79.953125","-79.953125"
"28","-84.796875","-84.796875","-84.796875"
"29","-80.0703125","-80.0703125","-80.0703125"
"30","-81.6015625","-81.6015625","-81.6015625"
"31","-80.046875","-80.046875","-80.046875"
"32","-81.9609375","-81.9609375","-81.9609375"
"33","-84.4765625","-84.4765625","-84.4765625"
"34","-81.03125","-81.03125","-81.03125"
"35","-80.75","-80.75","-80.75"
"36","-81.515625","-81.515625","-81.515625"
"37","-79.2890625","-79.2890625","-79.2890625"
"38","-81.609375","-81.609375","-81.609375"
"39","-81.6640625","-81.6640625","-81.6640625"
"40","-79.8828125","-79.8828125","-79.8828125"
"41","-80.5234375","-80.5234375","-80.5234375"
"42","-81.25","-81.25","-81.25"
"43","-81.875","-81.875","-81.875"
"44","-79.1953125","-79.1953125","-79.1953125"
"45","-81.9765625","-81.9765625","-81.9765625"
"46","-83.484375","-83.484375","-83.484375"
"47","-80.0546875","-80.0546875","-80.0546875"
"48","-81.3203125","-81.3203125","-81.3203125"
"49","-81.265625","-81.265625","-81.265625"
"50","-81.5234375","-81.5234375","-81.5234375"
"51","-81.6796875","-81.6796875","-81.6796875"
"52","-80.515625","-80.515625","-80.515625"
"53","-82.0625","-82.0625","-82.0625"
"54","-78.546875","-78.546875","-78.546875"
"55","-79.1796875","-79.1796875","-79.1796875"
"56","-80.875","-80.875","-80.875"
"57","-81.671875","-81.671875","-81.671875"
"58","-82.3203125","-82.3203125","-82.3203125"
"59","-81.28125","-81.28125","-81.28125"
"60","-81.5546875","-81.5546875","-81.5546875"
"61","-81.375","-81.375","-81.375"
"62","-81.0859375","-81.0859375","-81.0859375"
"63","-80.8828125","-80.8828125","-80.8828125"
"64","-80.921875","-80.921875","-80.921875"
"65","-81.5546875","-81.5546875","-81.5546875"
"66","-82","-82","-82"
"67","-81.96875","-81.96875","-81.96875"
"68","-82.2265625","-82.2265625","-82.2265625"
"69","-81.34375","-81.34375","-81.34375"
"70","-81.65625","-81.65625","-81.65625"
"71","-80.9921875","-80.9921875","-80.9921875"
"72","-82.59375","-82.59375","-82.59375"
"73","-82.296875","-82.296875","-82.296875"
"74","-81.9453125","-81.9453125","-81.9453125"
"75","-81.71875","-81.71875","-81.71875"
"76","-79.59375","-79.59375","-79.59375"
"77","-79.0703125","-79.0703125","-79.0703125"
"78","-78.765625","-78.765625","-78.765625"
"79","-80.40625","-80.40625","-80.40625"
"80","-81.703125","-81.703125","-81.703125"
"81","-81.375","-81.375","-81.375"
"82","-78.3984375","-78.3984375","-78.3984375"
"83","-78.8828125","-78.8828125","-78.8828125"
"84","-79.546875","-79.546875","-79.546875"
"85","-79.2421875","-79.2421875","-79.2421875"
"86","-81.9609375","-81.9609375","-81.9609375"
"87","-79.6796875","-79.6796875","-79.6796875"
"88","-79.953125","-79.953125","-79.953125"
"89","-79.546875","-79.546875","-79.546875"
"90","-80.4296875","-80.4296875","-80.4296875"
"91","-81.484375","-81.484375","-81.484375"
"92","-79.84375","-79.84375","-79.84375"
"93","-80.5","-80.5","-80.5"
"94","-79.8515625","-79.8515625","-79.8515625"
"95","-80.1875","-80.1875","-80.1875"
"96","-80.953125","-80.953125","-80.953125"
"97","-80.6640625","-80.6640625","-80.6640625"
"98","-81.046875","-81.046875","-81.046875"
"99","-82.2890625","-82.2890625","-82.2890625"
"100","-81.1640625","-81.1640625","-81.1640625"
"101","-82.9453125","-82.9453125","-82.9453125"
"102","-80.453125","-80.453125","-80.453125"
"103","-82.078125","-82.078125","-82.078125"
"104","-81.4375","-81.4375","-81.4375"
"105","-79.4609375","-79.4609375","-79.4609375"
"106","-79.3203125","-79.3203125","-79.3203125"
"107","-81.078125","-81.078125","-81.078125"
"108","-79.359375","-79.359375","-79.359375"
"109","-81.8125","-81.8125","-81.8125"
"110","-79.4609375","-79.4609375","-79.4609375"
"111","-79.2734375","-79.2734375","-79.2734375"
"112","-79.109375","-79.109375","-79.109375"
"113","-81.0390625","-81.0390625","-81.0390625"
"114","-79.6484375","-79.6484375","-79.6484375"
"115","-79.859375","-79.859375","-79.859375"
"116","-80.5078125","-80.5078125","-80.5078125"
"117","-80.2890625","-80.2890625","-80.2890625"
"118","-81.2421875","-81.2421875","-81.2421875"
"119","-78.015625","-78.015625","-78.015625"
"120","-80.4140625","-80.4140625","-80.4140625"
"121","-80.28125","-80.28125","-80.28125"
"122","-80.34375","-80.34375","-80.34375"
"123","-80.1796875","-80.1796875","-80.1796875"
"124","-83.0234375","-83.0234375","-83.0234375"
"125","-78.0390625","-78.0390625","-78.0390625"
"126","-80.6953125","-80.6953125","-80.6953125"
"127","-81.6015625","-81.6015625","-81.6015625"
"128","-79.765625","-79.765625","-79.765625"
"129","-81.328125","-81.328125","-81.328125"
"130","-81.046875","-81.046875","-81.046875"
"131","-79.9609375","-79.9609375","-79.9609375"
"132","-80.7734375","-80.7734375","-80.7734375"
"133","-79.375","-79.375","-79.375"
"134","-79.2421875","-79.2421875","-79.2421875"
"135","-80.0078125","-80.0078125","-80.0078125"
"136","-80.3671875","-80.3671875","-80.3671875"
"137","-80.7734375","-80.7734375","-80.7734375"
"138","-80.796875","-80.796875","-80.796875"
"139","-78.921875","-78.921875","-78.921875"
"140","-80.484375","-80.484375","-80.484375"
"141","-81.1328125","-81.1328125","-81.1328125"
"142","-80.6875","-80.6875","-80.6875"
"143","-80.0859375","-80.0859375","-80.0859375"
"144","-81.1796875","-81.1796875","-81.1796875"
"145","-79.0859375","-79.0859375","-79.0859375"
"146","-78.921875","-78.921875","-78.921875"
"147","-80.5390625","-80.5390625","-80.5390625"
