"Step","brax_ppo/num_timesteps_800000 - current_best_fitness","brax_ppo/num_timesteps_800000 - current_best_fitness__MIN","brax_ppo/num_timesteps_800000 - current_best_fitness__MAX"
"0","-200","-200","-200"
"1","-200","-200","-200"
"2","-200","-200","-200"
"3","-200","-200","-200"
"4","-200","-200","-200"
"5","-200","-200","-200"
"6","-199.953125","-199.953125","-199.953125"
"7","-199.671875","-199.671875","-199.671875"
"8","-197.515625","-197.515625","-197.515625"
"9","-194.6484375","-194.6484375","-194.6484375"
"10","-194.171875","-194.171875","-194.171875"
"11","-189.875","-189.875","-189.875"
"12","-170.40625","-170.40625","-170.40625"
"13","-129.3203125","-129.3203125","-129.3203125"
"14","-119.40625","-119.40625","-119.40625"
"15","-118.7734375","-118.7734375","-118.7734375"
"16","-115.7578125","-115.7578125","-115.7578125"
"17","-104.828125","-104.828125","-104.828125"
"18","-107.15625","-107.15625","-107.15625"
"19","-117.4140625","-117.4140625","-117.4140625"
"20","-112.90625","-112.90625","-112.90625"
"21","-107.6171875","-107.6171875","-107.6171875"
"22","-110.125","-110.125","-110.125"
"23","-104.546875","-104.546875","-104.546875"
"24","-103.984375","-103.984375","-103.984375"
"25","-100.3984375","-100.3984375","-100.3984375"
"26","-99.3515625","-99.3515625","-99.3515625"
"27","-96.5546875","-96.5546875","-96.5546875"
"28","-97.3828125","-97.3828125","-97.3828125"
"29","-93.09375","-93.09375","-93.09375"
"30","-94.1953125","-94.1953125","-94.1953125"
"31","-96.625","-96.625","-96.625"
"32","-96.265625","-96.265625","-96.265625"
"33","-98.3828125","-98.3828125","-98.3828125"
"34","-91.0703125","-91.0703125","-91.0703125"
"35","-91.3671875","-91.3671875","-91.3671875"
"36","-87.3984375","-87.3984375","-87.3984375"
"37","-87.1796875","-87.1796875","-87.1796875"
"38","-85.0390625","-85.0390625","-85.0390625"
"39","-86.3828125","-86.3828125","-86.3828125"
"40","-84.984375","-84.984375","-84.984375"
"41","-87.3125","-87.3125","-87.3125"
"42","-86.046875","-86.046875","-86.046875"
"43","-84.1796875","-84.1796875","-84.1796875"
"44","-87.078125","-87.078125","-87.078125"
"45","-89.3125","-89.3125","-89.3125"
"46","-86.6796875","-86.6796875","-86.6796875"
"47","-89.296875","-89.296875","-89.296875"
"48","-86.578125","-86.578125","-86.578125"
"49","-84.71875","-84.71875","-84.71875"
"50","-84.796875","-84.796875","-84.796875"
"51","-85.6171875","-85.6171875","-85.6171875"
"52","-87.875","-87.875","-87.875"
"53","-83.09375","-83.09375","-83.09375"
"54","-85.65625","-85.65625","-85.65625"
"55","-82.6640625","-82.6640625","-82.6640625"
"56","-83.546875","-83.546875","-83.546875"
"57","-83.0390625","-83.0390625","-83.0390625"
"58","-85.609375","-85.609375","-85.609375"
"59","-83.4375","-83.4375","-83.4375"
"60","-84.5078125","-84.5078125","-84.5078125"
"61","-81.8828125","-81.8828125","-81.8828125"
"62","-84.2578125","-84.2578125","-84.2578125"
"63","-84.546875","-84.546875","-84.546875"
"64","-83.0859375","-83.0859375","-83.0859375"
"65","-84.7890625","-84.7890625","-84.7890625"
"66","-83.5078125","-83.5078125","-83.5078125"
"67","-83.578125","-83.578125","-83.578125"
"68","-80.8515625","-80.8515625","-80.8515625"
"69","-83.234375","-83.234375","-83.234375"
"70","-82.5390625","-82.5390625","-82.5390625"
"71","-84.0859375","-84.0859375","-84.0859375"
"72","-81.4453125","-81.4453125","-81.4453125"
"73","-84.4609375","-84.4609375","-84.4609375"
"74","-82.9765625","-82.9765625","-82.9765625"
"75","-80.640625","-80.640625","-80.640625"
"76","-83.7109375","-83.7109375","-83.7109375"
"77","-84.859375","-84.859375","-84.859375"
"78","-80.9140625","-80.9140625","-80.9140625"
"79","-81.1875","-81.1875","-81.1875"
"80","-80.328125","-80.328125","-80.328125"
"81","-81.59375","-81.59375","-81.59375"
"82","-81.078125","-81.078125","-81.078125"
"83","-79.671875","-79.671875","-79.671875"
"84","-81.09375","-81.09375","-81.09375"
"85","-80.1328125","-80.1328125","-80.1328125"
"86","-82.5625","-82.5625","-82.5625"
"87","-79.7265625","-79.7265625","-79.7265625"
"88","-81.0078125","-81.0078125","-81.0078125"
"89","-81.1484375","-81.1484375","-81.1484375"
"90","-80.9765625","-80.9765625","-80.9765625"
"91","-80.796875","-80.796875","-80.796875"
"92","-82.6171875","-82.6171875","-82.6171875"
"93","-80.3046875","-80.3046875","-80.3046875"
"94","-82.0625","-82.0625","-82.0625"
"95","-80.5","-80.5","-80.5"
"96","-81.8046875","-81.8046875","-81.8046875"
"97","-81.953125","-81.953125","-81.953125"
"98","-81.8125","-81.8125","-81.8125"
"99","-81.59375","-81.59375","-81.59375"
"100","-80.65625","-80.65625","-80.65625"
"101","-81.1171875","-81.1171875","-81.1171875"
"102","-80.5234375","-80.5234375","-80.5234375"
"103","-81.7578125","-81.7578125","-81.7578125"
"104","-80.6875","-80.6875","-80.6875"
"105","-80.90625","-80.90625","-80.90625"
"106","-79.2109375","-79.2109375","-79.2109375"
"107","-81.3984375","-81.3984375","-81.3984375"
"108","-80.515625","-80.515625","-80.515625"
"109","-82.3984375","-82.3984375","-82.3984375"
"110","-82.34375","-82.34375","-82.34375"
"111","-79.9296875","-79.9296875","-79.9296875"
"112","-80.3984375","-80.3984375","-80.3984375"
"113","-81.984375","-81.984375","-81.984375"
"114","-80.7578125","-80.7578125","-80.7578125"
"115","-81.4296875","-81.4296875","-81.4296875"
"116","-80.2734375","-80.2734375","-80.2734375"
"117","-80.59375","-80.59375","-80.59375"
"118","-80.859375","-80.859375","-80.859375"
"119","-80.6796875","-80.6796875","-80.6796875"
"120","-81.1953125","-81.1953125","-81.1953125"
"121","-79.703125","-79.703125","-79.703125"
"122","-81.1640625","-81.1640625","-81.1640625"
"123","-82.28125","-82.28125","-82.28125"
"124","-81.15625","-81.15625","-81.15625"
"125","-78.6875","-78.6875","-78.6875"
"126","-80.640625","-80.640625","-80.640625"
"127","-80.296875","-80.296875","-80.296875"
"128","-80.3984375","-80.3984375","-80.3984375"
"129","-81.4375","-81.4375","-81.4375"
"130","-80.9453125","-80.9453125","-80.9453125"
"131","-81.96875","-81.96875","-81.96875"
"132","-80.7578125","-80.7578125","-80.7578125"
"133","-82.15625","-82.15625","-82.15625"
"134","-80.0078125","-80.0078125","-80.0078125"
"135","-81.21875","-81.21875","-81.21875"
"136","-81.0625","-81.0625","-81.0625"
"137","-81.5234375","-81.5234375","-81.5234375"
"138","-81.3828125","-81.3828125","-81.3828125"
"139","-80.0703125","-80.0703125","-80.0703125"
"140","-81.703125","-81.703125","-81.703125"
"141","-83.4921875","-83.4921875","-83.4921875"
"142","-80.6953125","-80.6953125","-80.6953125"
"143","-80.171875","-80.171875","-80.171875"
"144","-80.0859375","-80.0859375","-80.0859375"
"145","-79.4453125","-79.4453125","-79.4453125"
"146","-81.3125","-81.3125","-81.3125"
