"Step","brax_ppo/num_timesteps_800000000 - current_best_fitness","brax_ppo/num_timesteps_800000000 - current_best_fitness__MIN","brax_ppo/num_timesteps_800000000 - current_best_fitness__MAX"
"0","11.5703125","11.5703125","11.5703125"
"1","200","200","200"
"2","200","200","200"
"3","200","200","200"
"4","200","200","200"
"5","200","200","200"
"6","200","200","200"
"7","200","200","200"
"8","200","200","200"
"9","200","200","200"
"10","200","200","200"
"11","199.0390625","199.0390625","199.0390625"
"12","198.203125","198.203125","198.203125"
"13","199.9375","199.9375","199.9375"
"14","199.3828125","199.3828125","199.3828125"
"15","199.3828125","199.3828125","199.3828125"
"16","195.5234375","195.5234375","195.5234375"
"17","197.9140625","197.9140625","197.9140625"
"18","193.2109375","193.2109375","193.2109375"
"19","198.7734375","198.7734375","198.7734375"
"20","190.53125","190.53125","190.53125"
"21","195.359375","195.359375","195.359375"
"22","199.015625","199.015625","199.015625"
"23","199.46875","199.46875","199.46875"
"24","195.3671875","195.3671875","195.3671875"
"25","199.328125","199.328125","199.328125"
"26","198.203125","198.203125","198.203125"
"27","199.6171875","199.6171875","199.6171875"
"28","200","200","200"
"29","198.8671875","198.8671875","198.8671875"
"30","199.984375","199.984375","199.984375"
"31","200","200","200"
"32","200","200","200"
"33","200","200","200"
"34","200","200","200"
"35","199.96875","199.96875","199.96875"
"36","196.40625","196.40625","196.40625"
"37","189.4375","189.4375","189.4375"
"38","185.828125","185.828125","185.828125"
"39","199.390625","199.390625","199.390625"
"40","200","200","200"
"41","200","200","200"
"42","200","200","200"
"43","200","200","200"
"44","200","200","200"
"45","200","200","200"
"46","200","200","200"
"47","200","200","200"
"48","200","200","200"
"49","200","200","200"
"50","200","200","200"
"51","200","200","200"
"52","200","200","200"
"53","194.015625","194.015625","194.015625"
"54","198.5625","198.5625","198.5625"
"55","199.953125","199.953125","199.953125"
"56","200","200","200"
"57","200","200","200"
"58","200","200","200"
"59","192.625","192.625","192.625"
"60","196.0234375","196.0234375","196.0234375"
"61","200","200","200"
"62","200","200","200"
"63","200","200","200"
"64","198.5078125","198.5078125","198.5078125"
"65","199.7109375","199.7109375","199.7109375"
"66","188.015625","188.015625","188.015625"
"67","196.546875","196.546875","196.546875"
"68","198.34375","198.34375","198.34375"
"69","196.0703125","196.0703125","196.0703125"
"70","199.0390625","199.0390625","199.0390625"
"71","199.9921875","199.9921875","199.9921875"
"72","198.5703125","198.5703125","198.5703125"
"73","199.828125","199.828125","199.828125"
"74","189.8203125","189.8203125","189.8203125"
"75","186.3984375","186.3984375","186.3984375"
"76","199.703125","199.703125","199.703125"
"77","198.484375","198.484375","198.484375"
"78","194.9609375","194.9609375","194.9609375"
"79","199.125","199.125","199.125"
"80","199.3515625","199.3515625","199.3515625"
"81","192.3203125","192.3203125","192.3203125"
"82","199.7890625","199.7890625","199.7890625"
"83","187.59375","187.59375","187.59375"
"84","199.328125","199.328125","199.328125"
"85","198.2734375","198.2734375","198.2734375"
"86","197.2109375","197.2109375","197.2109375"
"87","178.96875","178.96875","178.96875"
"88","200","200","200"
"89","200","200","200"
"90","200","200","200"
"91","198.421875","198.421875","198.421875"
"92","199.359375","199.359375","199.359375"
"93","200","200","200"
"94","198.6875","198.6875","198.6875"
"95","199.9140625","199.9140625","199.9140625"
"96","189.2421875","189.2421875","189.2421875"
"97","194.515625","194.515625","194.515625"
"98","199.0625","199.0625","199.0625"
"99","199.875","199.875","199.875"
"100","200","200","200"
"101","200","200","200"
"102","200","200","200"
"103","200","200","200"
"104","190.65625","190.65625","190.65625"
"105","192.140625","192.140625","192.140625"
"106","199.6953125","199.6953125","199.6953125"
"107","200","200","200"
"108","200","200","200"
"109","200","200","200"
"110","200","200","200"
"111","200","200","200"
"112","200","200","200"
"113","200","200","200"
"114","200","200","200"
"115","200","200","200"
"116","200","200","200"
"117","200","200","200"
"118","200","200","200"
"119","200","200","200"
"120","200","200","200"
"121","200","200","200"
"122","200","200","200"
"123","199.7421875","199.7421875","199.7421875"
"124","197.171875","197.171875","197.171875"
"125","181.5390625","181.5390625","181.5390625"
"126","161.6953125","161.6953125","161.6953125"
"127","197.1328125","197.1328125","197.1328125"
"128","200","200","200"
"129","200","200","200"
