"Step","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"227","-61","-61","-61"
"228","-60","-60","-60"
"229","-60","-60","-60"
"230","-59","-59","-59"
"231","-60","-60","-60"
"232","-60","-60","-60"
"233","-60","-60","-60"
"234","-61","-61","-61"
"235","-61","-61","-61"
"236","-60","-60","-60"
"237","-60","-60","-60"
"238","-61","-61","-61"
"239","-61","-61","-61"
"240","-61","-61","-61"
"241","-60","-60","-60"
"242","-61","-61","-61"
"243","-60","-60","-60"
"244","-60","-60","-60"
"245","-60","-60","-60"
"246","-60","-60","-60"
"247","-60","-60","-60"
"248","-60","-60","-60"
"249","-60","-60","-60"
"250","-57","-57","-57"
"251","-60","-60","-60"
"252","-61","-61","-61"
"253","-59","-59","-59"
"254","-60","-60","-60"
"255","-60","-60","-60"
"256","-60","-60","-60"
"257","-60","-60","-60"
"258","-60","-60","-60"
"259","-61","-61","-61"
"260","-61","-61","-61"
"261","-60","-60","-60"
"262","-59","-59","-59"
"263","-59","-59","-59"
"264","-60","-60","-60"
"265","-59","-59","-59"
"266","-60","-60","-60"
"267","-60","-60","-60"
"268","-59","-59","-59"
"269","-59","-59","-59"
"270","-60","-60","-60"
"271","-60","-60","-60"
"272","-60","-60","-60"
"273","-60","-60","-60"
"274","-60","-60","-60"
"275","-59","-59","-59"
"276","-61","-61","-61"
"277","-61","-61","-61"
"278","-60","-60","-60"
"279","-60","-60","-60"
"280","-60","-60","-60"
"281","-60","-60","-60"
"282","-60","-60","-60"
"283","-60","-60","-60"
"284","-59","-59","-59"
"285","-60","-60","-60"
"286","-60","-60","-60"
"287","-60","-60","-60"
"288","-60","-60","-60"
"289","-60","-60","-60"
"290","-60","-60","-60"
"291","-60","-60","-60"
"292","-60","-60","-60"
"293","-60","-60","-60"
"294","-59","-59","-59"
"295","-60","-60","-60"
"296","-60","-60","-60"
"297","-57","-57","-57"
"298","-60","-60","-60"
"299","-59","-59","-59"
"300","-60","-60","-60"
"301","-60","-60","-60"
"302","-60","-60","-60"
"303","-61","-61","-61"
"304","-61","-61","-61"
"305","-60","-60","-60"
"306","-60","-60","-60"
"307","-59","-59","-59"
"308","-60","-60","-60"
"309","-60","-60","-60"
"310","-60","-60","-60"
"311","-60","-60","-60"
"312","-59","-59","-59"
"313","-59","-59","-59"
"314","-59","-59","-59"
"315","-61","-61","-61"
"316","-61","-61","-61"
"317","-62","-62","-62"
"318","-60","-60","-60"
"319","-60","-60","-60"
"320","-61","-61","-61"
"321","-60","-60","-60"
"322","-60","-60","-60"
"323","-59","-59","-59"
"324","-60","-60","-60"
"325","-59","-59","-59"
"326","-58","-58","-58"
"327","-61","-61","-61"
"328","-61","-61","-61"
"329","-59","-59","-59"
"330","-59","-59","-59"
"331","-59","-59","-59"
"332","-60","-60","-60"
"333","-59","-59","-59"
"334","-60","-60","-60"
"335","-59","-59","-59"
"336","-59","-59","-59"
"337","-60","-60","-60"
"338","-61","-61","-61"
"339","-60","-60","-60"
"340","-60","-60","-60"
"341","-59","-59","-59"
"342","-59","-59","-59"
"343","-59","-59","-59"
"344","-59","-59","-59"
"345","-60","-60","-60"
"346","-59","-59","-59"
"347","-59","-59","-59"
"348","-60","-60","-60"
"349","-61","-61","-61"
"350","-59","-59","-59"
"351","-59","-59","-59"
"352","-60","-60","-60"
"353","-60","-60","-60"
"354","-60","-60","-60"
"355","-59","-59","-59"
"356","-60","-60","-60"
"357","-60","-60","-60"
"358","-60","-60","-60"
"359","-60","-60","-60"
"360","-60","-60","-60"
"361","-60","-60","-60"
"362","-60","-60","-60"
"363","-60","-60","-60"
"364","-60","-60","-60"
"365","-60","-60","-60"
"366","-59","-59","-59"
"367","-59","-59","-59"
"368","-59","-59","-59"
"369","-59","-59","-59"
"370","-59","-59","-59"
"371","-60","-60","-60"
"372","-61","-61","-61"
"373","-61","-61","-61"
"374","-60","-60","-60"
"375","-59","-59","-59"
"376","-59","-59","-59"
"377","-60","-60","-60"
"378","-60","-60","-60"
"379","-59","-59","-59"
"380","-60","-60","-60"
"381","-61","-61","-61"
"382","-59","-59","-59"
"383","-62","-62","-62"
"384","-59","-59","-59"
"385","-59","-59","-59"
"386","-59","-59","-59"
"387","-60","-60","-60"
"388","-59","-59","-59"
"389","-62","-62","-62"
"390","-60","-60","-60"
"391","-59","-59","-59"
"392","-59","-59","-59"
"393","-59","-59","-59"
"394","-60","-60","-60"
"395","-59","-59","-59"
"396","-60","-60","-60"
"397","-59","-59","-59"
"398","-60","-60","-60"
"399","-59","-59","-59"
"400","-60","-60","-60"
"401","-59","-59","-59"
"402","-59","-59","-59"
"403","-59","-59","-59"
"404","-58","-58","-58"
"405","-59","-59","-59"
"406","-60","-60","-60"
"407","-60","-60","-60"
"408","-62","-62","-62"
"409","-60","-60","-60"
"410","-61","-61","-61"
"411","-60","-60","-60"
"412","-59","-59","-59"
"413","-59","-59","-59"
"414","-59","-59","-59"
"415","-56","-56","-56"
"416","-59","-59","-59"
"417","-60","-60","-60"
"418","-59","-59","-59"
"419","-59","-59","-59"
"420","-60","-60","-60"
"421","-60","-60","-60"
"422","-62","-62","-62"
"423","-60","-60","-60"
"424","-60","-60","-60"
"425","-59","-59","-59"
"426","-59","-59","-59"
"427","-60","-60","-60"
"428","-58","-58","-58"
"429","-60","-60","-60"
"430","-59","-59","-59"
"431","-62","-62","-62"
"432","-61","-61","-61"
"433","-59","-59","-59"
"434","-60","-60","-60"
"435","-63","-63","-63"
"436","-59","-59","-59"
"437","-61","-61","-61"
"438","-59","-59","-59"
"439","-59","-59","-59"
"440","-61","-61","-61"
"441","-60","-60","-60"
"442","-60","-60","-60"
"443","-59","-59","-59"
"444","-60","-60","-60"
"445","-59","-59","-59"
"446","-61","-61","-61"
"447","-59","-59","-59"
"448","-59","-59","-59"
"449","-59","-59","-59"
"450","-59","-59","-59"
"451","-59","-59","-59"
"452","-60","-60","-60"
"453","-60","-60","-60"
"454","-60","-60","-60"
"455","-59","-59","-59"
"456","-59","-59","-59"
"457","-59","-59","-59"
"458","-59","-59","-59"
"459","-60","-60","-60"
"460","-59","-59","-59"
"461","-60","-60","-60"
"462","-60","-60","-60"
"463","-61","-61","-61"
"464","-60","-60","-60"
"465","-60","-60","-60"
"466","-62","-62","-62"
"467","-60","-60","-60"
"468","-60","-60","-60"
"469","-62","-62","-62"
"470","-59","-59","-59"
"471","-60","-60","-60"
"472","-59","-59","-59"
"473","-59","-59","-59"
"474","-59","-59","-59"
"475","-60","-60","-60"
"476","-59","-59","-59"
"477","-59","-59","-59"
"478","-59","-59","-59"
"479","-59","-59","-59"
"480","-67","-67","-67"
"481","-59","-59","-59"
"482","-59","-59","-59"
"483","-59","-59","-59"
"484","-60","-60","-60"
"485","-60","-60","-60"
"486","-58","-58","-58"
"487","-61","-61","-61"
"488","-59","-59","-59"
"489","-59","-59","-59"
"490","-60","-60","-60"
"491","-60","-60","-60"
"492","-59","-59","-59"
"493","-59","-59","-59"
"494","-59","-59","-59"
"495","-65","-65","-65"
"496","-60","-60","-60"
"497","-60","-60","-60"
"498","-59","-59","-59"
"499","-67","-67","-67"
"500","-59","-59","-59"
"501","-60","-60","-60"
"502","-59","-59","-59"
"503","-59","-59","-59"
"504","-60","-60","-60"
"505","-60","-60","-60"
"506","-59","-59","-59"
"507","-60","-60","-60"
"508","-59","-59","-59"
"509","-59","-59","-59"
"510","-59","-59","-59"
"511","-61","-61","-61"
"512","-60","-60","-60"
"513","-59","-59","-59"
"514","-61","-61","-61"
"515","-60","-60","-60"
"516","-60","-60","-60"
"517","-60","-60","-60"
"518","-59","-59","-59"
"519","-61","-61","-61"
"520","-59","-59","-59"
"521","-68","-68","-68"
"522","-60","-60","-60"
"523","-59","-59","-59"
"524","-60","-60","-60"
"525","-61","-61","-61"
"526","-60","-60","-60"
"527","-60","-60","-60"
"528","-59","-59","-59"
"529","-59","-59","-59"
"530","-60","-60","-60"
"531","-62","-62","-62"
"532","-59","-59","-59"
"533","-59","-59","-59"
"534","-60","-60","-60"
"535","-62","-62","-62"
"536","-59","-59","-59"
"537","-59","-59","-59"
"538","-59","-59","-59"
"539","-59","-59","-59"
"540","-59","-59","-59"
"541","-61","-61","-61"
"542","-62","-62","-62"
"543","-60","-60","-60"
"544","-59","-59","-59"
"545","-59","-59","-59"
"546","-60","-60","-60"
"547","-59","-59","-59"
"548","-60","-60","-60"
"549","-60","-60","-60"
"550","-59","-59","-59"
"551","-60","-60","-60"
"552","-60","-60","-60"
"553","-61","-61","-61"
"554","-68","-68","-68"
"555","-60","-60","-60"
"556","-60","-60","-60"
"557","-63","-63","-63"
"558","-59","-59","-59"
"559","-59","-59","-59"
"560","-64","-64","-64"
"561","-59","-59","-59"
"562","-59","-59","-59"
"563","-59","-59","-59"
"564","-68","-68","-68"
"565","-60","-60","-60"
"566","-67","-67","-67"
"567","-59","-59","-59"
"568","-61","-61","-61"
"569","-59","-59","-59"
"570","-65","-65","-65"
"571","-59","-59","-59"
"572","-60","-60","-60"
"573","-66","-66","-66"
"574","-67","-67","-67"
"575","-60","-60","-60"
