"Step","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness__MIN","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness__MAX"
"729","10","10","10"
"730","11","11","11"
"731","9","9","9"
"732","8","8","8"
"733","10","10","10"
"734","11","11","11"
"735","8","8","8"
"736","10","10","10"
"737","11","11","11"
"738","9","9","9"
"739","10","10","10"
"740","10","10","10"
"741","9","9","9"
"742","10","10","10"
"743","8","8","8"
"744","9","9","9"
"745","11","11","11"
"746","9","9","9"
"747","11","11","11"
"748","10","10","10"
"749","10","10","10"
"750","10","10","10"
"751","11","11","11"
"752","10","10","10"
"753","9","9","9"
"754","10","10","10"
"755","10","10","10"
"756","11","11","11"
"757","9","9","9"
"758","9","9","9"
"759","11","11","11"
"760","9","9","9"
"761","9","9","9"
"762","8","8","8"
"763","11","11","11"
"764","11","11","11"
"765","10","10","10"
"766","10","10","10"
"767","11","11","11"
"768","10","10","10"
"769","11","11","11"
"770","10","10","10"
"771","10","10","10"
"772","9","9","9"
"773","9","9","9"
"774","9","9","9"
"775","10","10","10"
"776","9","9","9"
"777","9","9","9"
"778","8","8","8"
"779","10","10","10"
"780","9","9","9"
"781","11","11","11"
"782","11","11","11"
"783","9","9","9"
"784","9","9","9"
"785","9","9","9"
"786","10","10","10"
"787","11","11","11"
"788","10","10","10"
"789","10","10","10"
"790","10","10","10"
"791","11","11","11"
"792","9","9","9"
"793","10","10","10"
"794","9","9","9"
"795","11","11","11"
"796","9","9","9"
"797","10","10","10"
"798","9","9","9"
"799","9","9","9"
"800","10","10","10"
"801","9","9","9"
"802","11","11","11"
"803","9","9","9"
"804","10","10","10"
"805","9","9","9"
"806","11","11","11"
"807","9","9","9"
"808","10","10","10"
"809","9","9","9"
"810","10","10","10"
"811","11","11","11"
"812","10","10","10"
"813","11","11","11"
"814","12","12","12"
"815","9","9","9"
"816","11","11","11"
"817","10","10","10"
"818","10","10","10"
"819","11","11","11"
"820","10","10","10"
"821","9","9","9"
"822","10","10","10"
"823","11","11","11"
"824","10","10","10"
"825","11","11","11"
"826","9","9","9"
"827","11","11","11"
"828","10","10","10"
"829","9","9","9"
"830","10","10","10"
"831","10","10","10"
"832","10","10","10"
"833","9","9","9"
"834","11","11","11"
"835","12","12","12"
"836","10","10","10"
"837","12","12","12"
"838","10","10","10"
"839","9","9","9"
"840","12","12","12"
"841","12","12","12"
"842","10","10","10"
"843","10","10","10"
"844","11","11","11"
"845","9","9","9"
"846","10","10","10"
"847","11","11","11"
"848","9","9","9"
"849","12","12","12"
"850","12","12","12"
"851","11","11","11"
"852","10","10","10"
"853","12","12","12"
"854","9","9","9"
"855","11","11","11"
"856","9","9","9"
"857","12","12","12"
"858","10","10","10"
"859","11","11","11"
"860","10","10","10"
"861","10","10","10"
"862","9","9","9"
"863","10","10","10"
"864","10","10","10"
"865","10","10","10"
"866","10","10","10"
"867","9","9","9"
"868","10","10","10"
"869","9","9","9"
"870","12","12","12"
"871","10","10","10"
"872","9","9","9"
