"Step","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness__MIN","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 1.0} - current_best_fitness__MAX"
"0","200","200","200"
"1","200","200","200"
"2","162","162","162"
"3","200","200","200"
"4","200","200","200"
"5","200","200","200"
"6","200","200","200"
"7","200","200","200"
"8","200","200","200"
"9","121","121","121"
"10","167","167","167"
"11","133","133","133"
"12","200","200","200"
"13","200","200","200"
"14","182","182","182"
"15","200","200","200"
"16","200","200","200"
"17","200","200","200"
"18","200","200","200"
"19","200","200","200"
"20","200","200","200"
"21","200","200","200"
"22","200","200","200"
"23","200","200","200"
"24","200","200","200"
"25","200","200","200"
"26","200","200","200"
"27","200","200","200"
"28","200","200","200"
"29","200","200","200"
"30","200","200","200"
"31","200","200","200"
"32","200","200","200"
"33","200","200","200"
"34","200","200","200"
"35","200","200","200"
"36","200","200","200"
"37","200","200","200"
"38","200","200","200"
"39","200","200","200"
"40","200","200","200"
"41","200","200","200"
"42","200","200","200"
"43","200","200","200"
"44","200","200","200"
"45","200","200","200"
"46","200","200","200"
"47","200","200","200"
"48","200","200","200"
"49","200","200","200"
"50","200","200","200"
"51","200","200","200"
"52","200","200","200"
"53","200","200","200"
"54","200","200","200"
"55","200","200","200"
"56","200","200","200"
"57","200","200","200"
"58","200","200","200"
"59","200","200","200"
"60","200","200","200"
"61","200","200","200"
"62","200","200","200"
"63","200","200","200"
"64","200","200","200"
"65","200","200","200"
"66","200","200","200"
"67","200","200","200"
"68","200","200","200"
"69","200","200","200"
"70","200","200","200"
"71","200","200","200"
"72","200","200","200"
"73","200","200","200"
"74","200","200","200"
"75","200","200","200"
"76","200","200","200"
"77","200","200","200"
"78","200","200","200"
"79","200","200","200"
"80","200","200","200"
"81","200","200","200"
"82","200","200","200"
"83","200","200","200"
"84","200","200","200"
"85","200","200","200"
"86","200","200","200"
"87","200","200","200"
"88","200","200","200"
"89","200","200","200"
"90","200","200","200"
"91","200","200","200"
"92","200","200","200"
"93","200","200","200"
"94","200","200","200"
"95","200","200","200"
"96","200","200","200"
"97","200","200","200"
"98","200","200","200"
"99","200","200","200"
"100","200","200","200"
"101","200","200","200"
"102","200","200","200"
"103","200","200","200"
"104","200","200","200"
"105","200","200","200"
"106","200","200","200"
"107","200","200","200"
"108","200","200","200"
"109","200","200","200"
"110","200","200","200"
"111","200","200","200"
"112","200","200","200"
"113","200","200","200"
"114","200","200","200"
"115","200","200","200"
"116","200","200","200"
"117","200","200","200"
"118","200","200","200"
"119","200","200","200"
"120","200","200","200"
"121","200","200","200"
"122","200","200","200"
"123","200","200","200"
"124","200","200","200"
"125","200","200","200"
"126","200","200","200"
"127","200","200","200"
"128","200","200","200"
"129","200","200","200"
"130","200","200","200"
"131","200","200","200"
"132","200","200","200"
"133","200","200","200"
"134","200","200","200"
"135","200","200","200"
"136","200","200","200"
"137","200","200","200"
"138","200","200","200"
"139","200","200","200"
"140","200","200","200"
"141","200","200","200"
"142","200","200","200"
"143","200","200","200"
"144","200","200","200"
"145","200","200","200"
"146","200","200","200"
"147","200","200","200"
"148","200","200","200"
"149","200","200","200"
"150","200","200","200"
"151","200","200","200"
"152","200","200","200"
"153","200","200","200"
"154","200","200","200"
"155","200","200","200"
"156","200","200","200"
"157","200","200","200"
"158","200","200","200"
"159","200","200","200"
"160","200","200","200"
"161","200","200","200"
"162","200","200","200"
"163","200","200","200"
"164","200","200","200"
"165","200","200","200"
"166","200","200","200"
"167","200","200","200"
"168","200","200","200"
"169","200","200","200"
"170","200","200","200"
"171","200","200","200"
"172","200","200","200"
"173","200","200","200"
"174","200","200","200"
"175","200","200","200"
"176","200","200","200"
"177","200","200","200"
"178","200","200","200"
"179","200","200","200"
"180","200","200","200"
"181","200","200","200"
"182","200","200","200"
"183","200","200","200"
"184","200","200","200"
"185","200","200","200"
"186","200","200","200"
"187","200","200","200"
"188","200","200","200"
"189","200","200","200"
"190","200","200","200"
"191","200","200","200"
"192","200","200","200"
"193","200","200","200"
"194","200","200","200"
"195","200","200","200"
"196","200","200","200"
"197","200","200","200"
"198","200","200","200"
"199","200","200","200"
"200","10","10","10"
"201","8","8","8"
"202","8","8","8"
"203","10","10","10"
"204","9","9","9"
"205","8","8","8"
"206","10","10","10"
"207","10","10","10"
"208","8","8","8"
"209","10","10","10"
"210","9","9","9"
"211","8","8","8"
"212","10","10","10"
"213","10","10","10"
"214","10","10","10"
"215","9","9","9"
"216","8","8","8"
"217","9","9","9"
"218","10","10","10"
"219","9","9","9"
"220","10","10","10"
"221","10","10","10"
"222","9","9","9"
"223","9","9","9"
"224","9","9","9"
"225","8","8","8"
"226","9","9","9"
"227","10","10","10"
"228","10","10","10"
"229","9","9","9"
"230","8","8","8"
"231","11","11","11"
"232","8","8","8"
"233","10","10","10"
"234","9","9","9"
"235","9","9","9"
"236","10","10","10"
"237","10","10","10"
"238","8","8","8"
"239","9","9","9"
"240","10","10","10"
"241","9","9","9"
"242","9","9","9"
"243","9","9","9"
"244","10","10","10"
"245","10","10","10"
"246","9","9","9"
"247","9","9","9"
"248","8","8","8"
"249","10","10","10"
"250","10","10","10"
"251","10","10","10"
"252","9","9","9"
"253","9","9","9"
"254","9","9","9"
"255","11","11","11"
"256","10","10","10"
"257","11","11","11"
"258","9","9","9"
"259","9","9","9"
"260","10","10","10"
"261","8","8","8"
"262","9","9","9"
"263","9","9","9"
"264","10","10","10"
"265","9","9","9"
"266","10","10","10"
"267","9","9","9"
"268","8","8","8"
"269","8","8","8"
"270","10","10","10"
"271","9","9","9"
"272","9","9","9"
"273","10","10","10"
"274","10","10","10"
"275","9","9","9"
"276","10","10","10"
"277","10","10","10"
"278","10","10","10"
"279","8","8","8"
"280","9","9","9"
"281","9","9","9"
"282","8","8","8"
"283","9","9","9"
"284","9","9","9"
"285","9","9","9"
"286","10","10","10"
"287","10","10","10"
"288","10","10","10"
"289","8","8","8"
"290","8","8","8"
"291","8","8","8"
"292","8","8","8"
"293","9","9","9"
"294","9","9","9"
"295","11","11","11"
"296","9","9","9"
"297","9","9","9"
"298","10","10","10"
"299","10","10","10"
"300","9","9","9"
"301","10","10","10"
"302","9","9","9"
"303","10","10","10"
"304","10","10","10"
"305","9","9","9"
"306","10","10","10"
"307","8","8","8"
"308","10","10","10"
"309","10","10","10"
"310","10","10","10"
"311","9","9","9"
"312","9","9","9"
"313","10","10","10"
"314","9","9","9"
"315","10","10","10"
"316","10","10","10"
"317","10","10","10"
"318","8","8","8"
"319","9","9","9"
"320","9","9","9"
"321","10","10","10"
"322","10","10","10"
"323","10","10","10"
"324","9","9","9"
"325","9","9","9"
"326","10","10","10"
